h,F,p,sig01
0,3.807015370423784,8.656742245261029e-08,True
6,4.035833954360027,2.0051023064127094e-08,True
12,5.631527060697532,6.047384815133228e-13,True
24,3.230081505955074,4.0555911307027515e-06,True
32,2.344136003141426,0.0009246200653558745,True
48,6.6831184296653,1.5543122344752192e-15,True
