h,n,F,coef,se,lo90,hi90
0,380,7.9224779676893595,-0.1514510451706883,0.08568049417522637,-0.2923954580889357,-0.010506632252440917
1,379,7.8477826844961625,-0.10099325549163041,0.14959030533251919,-0.34706930776362444,0.14508279678036365
2,378,7.844247237089632,-0.004374159466351557,0.20599590747524474,-0.34323742726312917,0.33448910833042605
3,377,7.847005906139854,-0.021104661303070316,0.23867993054254982,-0.4137331470455648,0.37152382443942417
4,376,7.818040391581358,0.021766404424852226,0.2383979135830616,-0.3703981634192841,0.41393097226898856
5,375,7.792717320140138,0.23464222034181148,0.23419914245969514,-0.15061536900438705,0.61989980968801
6,374,7.7610320848430066,0.22614831828741444,0.2186052454021711,-0.13345731039915704,0.5857539469739859
7,373,7.697878649635424,0.18608355432661483,0.2163194339183687,-0.16976191446910166,0.5419290231223313
8,372,7.660373261161891,0.1721119176791035,0.20607265499567354,-0.16687759978877947,0.5111014351469865
9,371,7.633007398431729,0.24803507599426666,0.2705982609395567,-0.1970990632513041,0.6931692152398374
10,370,7.629016674562266,0.46397743130637537,0.3756365250618769,-0.1539446524204121,1.0818995150331627
11,369,7.624836679699211,0.46055903588148794,0.40208521222598814,-0.2008711382302626,1.1219892099932385
12,368,7.497225846749343,0.5977926127170576,0.44632702590179674,-0.13641534489139795,1.3320005703255133
13,367,7.377756400858773,0.48852575733326375,0.43018666626837515,-0.2191313086782134,1.196182823344741
14,366,7.1865400029204585,0.4253964255030951,0.42526545357392587,-0.27416524562601297,1.124958096632203
15,365,6.999435618501036,0.45607427017694135,0.41708471069641795,-0.23003007891866623,1.142178619272549
16,364,6.897247833933874,0.4099783156088961,0.3714251009971205,-0.20101597553136719,1.0209726067491594
17,363,6.832382638154331,0.366468751028151,0.3369539322891386,-0.18782046758748205,0.9207579696437841
18,362,6.711178274346705,0.5891626848497253,0.3886832199188983,-0.05022121191686235,1.228546581616313
19,361,6.640184535411808,0.6056150508647988,0.4422430928116572,-0.12187483681037725,1.333104938539975
20,360,6.438567769024573,0.47448119860382576,0.4433486733696801,-0.25482736908929804,1.2037897662969494
21,359,6.415730073675428,0.3948809932826407,0.44138768256552513,-0.33120174453764817,1.1209637311029295
22,358,6.52858424067921,0.49505794218293886,0.44586923204044787,-0.23839694452359794,1.2285128288894755
23,357,6.4290347880337215,0.6482259229542251,0.47153403360203844,-0.1274475623211282,1.4238994082295784
24,356,6.4290400983139735,0.8287914243110208,0.4965928560943197,0.011896176035864903,1.6456866725861767
25,355,6.428424392575266,0.7793754653657743,0.4682011999500637,0.00918449144791944,1.549566439283629
26,354,6.327808285485892,0.8164800027407182,0.4900145378346569,0.010406088002707592,1.622553917478729
27,353,6.268334738065098,0.7856908879575712,0.4365059354811307,0.06763862409111121,1.5037431518240312
28,352,6.091129314210759,1.1093964931478695,0.511619001300467,0.2677832360086012,1.9510097502871377
29,351,5.991256231562757,1.3243982665890144,0.610604524058823,0.3199538245122504,2.3288427086657784
30,350,5.992055612396244,1.3729751324117387,0.6828871625469576,0.2496257500219936,2.4963245148014837
31,349,5.955645424728,1.629696429429714,0.7118912754127587,0.45863528137572596,2.800757577483702
32,348,5.985453518561001,1.8043771154443675,0.7649648551172541,0.5460099287764846,3.0627443021122502
33,347,5.985520795010905,1.5691582509261934,0.6191630397560508,0.55063505052749,2.587681451324897
34,346,5.8968615475115405,1.4511190696703125,0.5465215981882198,0.5520910406506909,2.350147098689934
35,345,5.862371069302268,1.3797353378995467,0.5366094506656864,0.4970127915544925,2.262457884244601
36,344,5.842294303999291,1.4647770737119572,0.5701762774706933,0.5268370972726667,2.4027170501512476
37,343,5.824720028034534,1.4242959109542426,0.48628461397824335,0.6243577209600323,2.2242341009484528
38,342,5.8609256670658265,1.4953397853823844,0.4865535632219198,0.6949591738823264,2.2957203968824427
39,341,5.948736172902075,1.662938748340821,0.49506023716785486,0.8485646581996996,2.477312838481942
40,340,5.9468982609570045,1.8455171136247372,0.5847932576633542,0.8835322047685196,2.807502022480955
41,339,5.933580053079006,1.843184560393638,0.5447438014430723,0.9470810070197841,2.739288113767492
42,338,5.960102363503305,1.7515117152388484,0.5548803408868699,0.8387335544799475,2.664289875997749
43,337,5.967524791637085,1.6998893141362714,0.559396973870146,0.7796812921198812,2.6200973361526616
44,336,6.006685039014316,1.6019229695657486,0.5321982409728864,0.7264568631653505,2.4773890759661468
45,335,6.010366586866569,1.5008348051387657,0.5343153532757694,0.621886049000125,2.3797835612774065
46,334,6.012666137108788,1.5983318713460903,0.571791894413413,0.6577342050360259,2.5389295376561547
47,333,6.0111677507732955,1.6474873541183115,0.5641387902474916,0.7194790441611878,2.575495664075435
48,332,5.877410317947296,1.9406942911937222,0.6236981901118867,0.9147107684596687,2.9666778139277756
