h,coef,se,n,lo90,hi90
0,0.03950952878116182,1.1379753549001606,2674,-1.8324599300296023,1.9114789875919258
1,-1.7105487299048465,90.9268592620342,2667,-151.2852322159511,147.86413475614142
2,1.1952485202070664,13.892802883387256,2660,-21.65841222296497,24.0489092633791
3,0.07664267710464441,0.6579859071596632,2653,-1.0057441401730016,1.1590294943822905
4,0.0034440133825186653,0.6486479965917195,2646,-1.0635819410108598,1.070469967775897
5,0.19582241736706377,1.3492468378215738,2639,-2.023688630849425,2.4153334655835526
6,0.6162765136367764,3.290627226846282,2632,-4.796805274525357,6.0293583017989105
7,0.44797703329963895,3.9856567696694603,2625,-6.108428352806623,7.004382419405902
8,0.27036176614624413,1.3045991193403765,2618,-1.8757037851686755,2.4164273174611637
9,0.24853891653978707,0.9406441522283411,2611,-1.298820713875834,1.7958985469554083
10,0.2124707783996972,1.115769756910615,2604,-1.6229704717182645,2.047912028517659
11,0.121538227763694,0.7005170416579122,2597,-1.0308123057635714,1.2738887612909595
12,0.05646745134145021,0.5305779351508937,2590,-0.8163332519817699,0.9292681546646704
13,-0.07458595041786933,0.6051924590141129,2583,-1.070127545496085,0.9209556446603464
14,0.15560948253822868,0.8946486007515014,2576,-1.3160874656979913,1.6273064307744485
15,0.024433373733814327,0.5174176205052674,2569,-0.8267186119973505,0.8755853594649793
16,0.14150893805201664,0.8392112044000859,2562,-1.2389934931861246,1.522011369290158
17,0.16598837961926524,0.7396956033992876,2555,-1.050810887972563,1.3827876472110934
18,0.2370942909303457,0.7802886163466562,2548,-1.046480482959904,1.5206690648205954
19,0.11568752896512867,0.757540701109697,2541,-1.130466924360323,1.3618419822905803
20,0.07181437914845566,0.5691016271693704,2534,-0.8643577975451586,1.00798655584207
21,0.1999837768227801,1.1658596319956065,2527,-1.7178553178099927,2.117822871455553
22,0.02176947031622045,0.5323256376039667,2520,-0.8539062035423047,0.8974451441747456
23,0.152692105069518,0.6068749910076652,2513,-0.8456172551380912,1.1510014652771272
24,0.20127733854355095,0.7746161230483302,2506,-1.0729661838709523,1.4755208609580541
25,0.01696724318562671,0.5041477362595514,2499,-0.8123557829613355,0.8462902693325889
26,0.24313461274705073,0.7124034735059143,2492,-0.9287691011701783,1.4150383266642796
27,0.012445421890445315,0.458464656181167,2485,-0.7417289375275744,0.766619781308465
28,0.09759271334297209,0.4111912661686293,2478,-0.578816919504423,0.7740023461903673
29,-0.13625749914359514,0.9987378776691298,2471,-1.7791813079093137,1.5066663096221233
30,0.12720956359256705,0.821512678860921,2464,-1.224178793133648,1.478597920318782
31,0.378457074451106,0.8215477138336823,2457,-0.9729889148053015,1.7299030637075135
32,0.060383640103071554,0.5044467789273837,2450,-0.7694313112324747,0.8901985914386177
33,-0.13385832253769034,0.9665462369652263,2443,-1.7238268823454876,1.456110237270107
34,0.11030662304564724,0.4474971752014045,2436,-0.6258262301606632,0.8464394762519576
35,-0.3083213547885852,1.0959303307370138,2429,-2.111126748850973,1.4944840392738026
36,-0.14427762959969967,0.9354514491766722,2422,-1.6830952634953256,1.3945400042959262
37,-0.017618487981840365,0.460623946447902,2415,-0.7753448798886392,0.7401079039249584
38,0.043100564363203475,0.5229892468158961,2408,-0.8172167466489455,0.9034178753753526
39,0.045584787123207696,0.6479886966871857,2401,-1.0203566189272126,1.1115261931736282
40,0.23649590124122363,0.6535705925983046,2394,-0.8386277235829874,1.3116195260654346
41,0.26657201917403806,0.6939253400078013,2387,-0.874935165138795,1.4080792034868712
42,0.1104504992929603,0.6385651784086298,2380,-0.9399892191892358,1.1608902177751563
43,0.02036406030271949,0.7828152414187782,2373,-1.2673670118311706,1.3080951324366097
44,-0.12707726742525707,1.0429480791267607,2366,-1.8427268575887785,1.5885723227382642
45,0.07056593587605392,0.7599085409488254,2359,-1.1794836139847638,1.3206154857368717
46,0.19536689501875976,0.4938181645439044,2352,-0.616963985655963,1.0076977756934826
47,-0.15062347683798127,1.4653190765568729,2345,-2.5610733577740374,2.2598264040980744
48,-0.10551074507108699,1.009521225781935,2338,-1.7661731614823701,1.555151671340196
