Unnamed: 0,finbert_pos_mean,finbert_neg_mean,finbert_net,finbert_count,date
2015-04-01,0.1487002203861872,0.2483445298857987,-0.0996443094996114,90.0,2015-04-01
2015-05-01,0.0752912883957227,0.183991115540266,-0.1086998271445433,3.0,2015-05-01
2015-06-01,0.1776862791033857,0.2354746629916733,-0.0577883838882876,99.0,2015-06-01
2015-07-01,0.1915467019662656,0.2017085507091761,-0.0101618487429104,113.0,2015-07-01
2015-08-01,0.1444746397513275,0.2551937437868521,-0.1107191040355246,96.0,2015-08-01
2015-09-01,0.2062749190023169,0.2258787957369349,-0.019603876734618,160.0,2015-09-01
2015-10-01,0.1530429102597875,0.2491127751255827,-0.0960698648657951,111.0,2015-10-01
2015-11-01,0.1909639333305811,0.1827943373894043,0.0081695959411768,108.0,2015-11-01
2015-12-01,0.2169282042588561,0.1785050025388885,0.0384232017199676,78.0,2015-12-01
2016-01-01,0.1915486022480763,0.1872569283441407,0.0042916739039355,64.0,2016-01-01
2016-02-01,0.1282723726083835,0.2457759847827986,-0.1175036121744151,102.0,2016-02-01
2016-03-01,0.2036512335339053,0.2287445891997777,-0.0250933556658723,88.0,2016-03-01
2016-04-01,0.1929057459995339,0.2140886618496402,-0.0211829158501062,79.0,2016-04-01
2016-05-01,0.1924557331675554,0.2623703445253126,-0.0699146113577572,68.0,2016-05-01
2016-06-01,0.1931678492289323,0.2823039844775429,-0.0891361352486106,65.0,2016-06-01
2016-07-01,0.2965795397758484,0.0385354426689446,0.2580440971069038,2.0,2016-07-01
2016-08-01,0.1532932628650923,0.1616844584586451,-0.0083911955935528,74.0,2016-08-01
2016-09-01,0.1392940038194259,0.2541803411104613,-0.1148863372910353,90.0,2016-09-01
2016-10-01,0.1770932706827415,0.2454053383155525,-0.0683120676328109,79.0,2016-10-01
2016-11-01,0.152770482742673,0.2389121961415461,-0.0861417133988731,92.0,2016-11-01
2016-12-01,0.1725770420949868,0.2277423603968187,-0.0551653183018318,99.0,2016-12-01
2017-01-01,0.155708492715966,0.2911101174189375,-0.1354016247029715,159.0,2017-01-01
2017-02-01,0.2305215309268885,0.2320226850250976,-0.0015011540982091,124.0,2017-02-01
2017-03-01,0.1885152443459159,0.2404093410490655,-0.0518940967031495,133.0,2017-03-01
2017-04-01,0.1607420541620327,0.3076839894256297,-0.1469419352635969,163.0,2017-04-01
2017-05-01,0.205951418087352,0.2409712990665866,-0.0350198809792345,128.0,2017-05-01
2017-06-01,0.1733727201336511,0.2993521107843628,-0.1259793906507116,135.0,2017-06-01
2017-07-01,0.1909807309631473,0.322157122221706,-0.1311763912585587,121.0,2017-07-01
2017-08-01,0.2445484076937039,0.3023763218273719,-0.0578279141336679,3.0,2017-08-01
2017-09-01,,,,,2017-09-01
2017-10-01,0.165312910452485,0.2406767723150551,-0.07536386186257,2.0,2017-10-01
2017-11-01,0.0285274609923362,0.3894542902708053,-0.3609268292784691,2.0,2017-11-01
2017-12-01,0.1618264694698155,0.3538274255115539,-0.1920009560417384,4.0,2017-12-01
2018-01-01,0.0902969729155302,0.3628861455991864,-0.2725891726836562,50.0,2018-01-01
2018-02-01,0.207644844545968,0.2346159648002376,-0.0269711202542696,63.0,2018-02-01
2018-03-01,0.1438767732727493,0.291906003688657,-0.1480292304159077,86.0,2018-03-01
2018-04-01,0.2146396485573433,0.3377457862184878,-0.1231061376611444,94.0,2018-04-01
2018-05-01,0.1685848214398444,0.3645558538268844,-0.1959710323870399,137.0,2018-05-01
2018-06-01,0.1622212936001068,0.3352739739316431,-0.1730526803315363,110.0,2018-06-01
2018-07-01,0.1651292615383863,0.4036867307964712,-0.2385574692580848,100.0,2018-07-01
2018-08-01,0.1958913307147796,0.2794346808070185,-0.0835433500922388,99.0,2018-08-01
2018-09-01,0.2107670793309807,0.4200462698936462,-0.2092791905626654,5.0,2018-09-01
2018-10-01,0.1444543201725968,0.387404676786019,-0.2429503566134221,97.0,2018-10-01
2018-11-01,0.217939651560127,0.2808227424698305,-0.0628830909097035,84.0,2018-11-01
2018-12-01,0.1700195902864439,0.3486414720784082,-0.1786218817919643,99.0,2018-12-01
2019-01-01,0.1802485479562673,0.3154408914607859,-0.1351923435045186,93.0,2019-01-01
2019-02-01,0.224746685265825,0.3386988640982615,-0.1139521788324365,89.0,2019-02-01
2019-03-01,0.1971472494844948,0.3111521744129238,-0.1140049249284289,93.0,2019-03-01
2019-04-01,0.2922121956944465,0.4893908835947513,-0.1971786879003048,3.0,2019-04-01
2019-05-01,0.2024080986868898,0.2965267064690495,-0.0941186077821596,157.0,2019-05-01
2019-06-01,0.2034016081244882,0.3654659251245021,-0.1620643170000138,132.0,2019-06-01
2019-07-01,0.1704011983398733,0.3548368133454658,-0.1844356150055925,87.0,2019-07-01
2019-08-01,0.1527557995821523,0.3914265762938838,-0.2386707767117314,123.0,2019-08-01
2019-09-01,0.1522569354106154,0.3852398205031123,-0.2329828850924968,90.0,2019-09-01
2019-10-01,0.1655905599917539,0.3712891331450506,-0.2056985731532966,110.0,2019-10-01
2019-11-01,0.201410609729372,0.3551957465478799,-0.1537851368185078,69.0,2019-11-01
2019-12-01,0.2017013354813807,0.3080674561365724,-0.1063661206551916,73.0,2019-12-01
2020-01-01,0.1330811819213071,0.4230566772791307,-0.2899754953578236,123.0,2020-01-01
2020-02-01,0.0956409267902849,0.3694360802769132,-0.2737951534866282,141.0,2020-02-01
2020-03-01,0.0774982814249154,0.4257544638622585,-0.3482561824373431,111.0,2020-03-01
2020-04-01,0.1272195408839667,0.3939310084914037,-0.2667114676074369,114.0,2020-04-01
2020-05-01,0.1008497922947364,0.4193956964133706,-0.3185459041186342,112.0,2020-05-01
2020-06-01,0.1410139182218067,0.4232784484249904,-0.2822645302031837,92.0,2020-06-01
2020-07-01,0.1208427876966898,0.4613442470655456,-0.3405014593688557,122.0,2020-07-01
2020-08-01,0.1562101483620979,0.3777076045430644,-0.2214974561809665,108.0,2020-08-01
2020-09-01,0.1240672824372138,0.3910464281579117,-0.2669791457206978,77.0,2020-09-01
2020-10-01,0.1550336816969017,0.2939200088847428,-0.1388863271878411,60.0,2020-10-01
2020-11-01,0.2271460653163301,0.3480699985789565,-0.1209239332626263,39.0,2020-11-01
2020-12-01,0.0906988564989904,0.3784155633383945,-0.287716706839404,67.0,2020-12-01
2021-01-01,0.1377796957775661,0.3776372277756556,-0.2398575319980895,103.0,2021-01-01
2021-02-01,0.1681767289491394,0.3518910040088658,-0.1837142750597264,79.0,2021-02-01
2021-03-01,0.160975877066558,0.3389239428334881,-0.17794806576693,166.0,2021-03-01
2021-04-01,0.1978552080954442,0.2835418234825275,-0.0856866153870832,106.0,2021-04-01
2021-05-01,0.1457319959922872,0.3384109224954789,-0.1926789265031916,99.0,2021-05-01
2021-06-01,0.1188682191111523,0.3371492100343334,-0.218280990923181,99.0,2021-06-01
2021-07-01,0.1393330133768954,0.3741649447153483,-0.2348319313384528,116.0,2021-07-01
2021-08-01,0.1749510496498688,0.24228020232883,-0.0673291526789612,68.0,2021-08-01
2021-09-01,0.1494983294202635,0.3175442649420195,-0.1680459355217559,96.0,2021-09-01
2021-10-01,0.172127269871103,0.3071109589117651,-0.134983689040662,104.0,2021-10-01
2021-11-01,0.1420586517406175,0.2470530348658127,-0.1049943831251952,103.0,2021-11-01
2021-12-01,0.1510823288311561,0.2400194076371604,-0.0889370788060043,87.0,2021-12-01
2022-01-01,0.1480421711048183,0.316983033450999,-0.1689408623461806,645.0,2022-01-01
2022-02-01,0.1235194904417927,0.3125700161445295,-0.1890505257027367,687.0,2022-02-01
