date,lwip,lgop,lwti,lpri,pri,u_wip,u_gop,pri_jp,pri_aus,pri_cds,pri_fra,pri_ger,pri_india,pri_indo,pri_pak,pri_rus,pri_vn,pri_uk,Period,lpri_jp,dlpri_jp,lpri_aus,dlpri_aus,lpri_cds,dlpri_cds,lpri_fra,dlpri_fra,lpri_ger,dlpri_ger,lpri_india,dlpri_india,lpri_indo,dlpri_indo,lpri_pak,dlpri_pak,lpri_rus,dlpri_rus,lpri_vn,dlpri_vn,lpri_uk,dlpri_uk,dlpri,llwip,llgop,l2lwip,l2lgop,d2pri,d2pri_jp,dllgop,dl2lgop,vix,lgold,tb3ms,gs10,tedrate,us_spread,em_oas,term_spread,lreer,dvix,lbdi,lip,lepu,dcny_usd,cny_vol,em_fx_vol,brent_wti_spread,gdelt_total_events_log,gdelt_goldstein_mean,gdelt_sentiment_signal,gdelt_conflict_share,gdelt_hostility_share,gdelt_topic_pca_1,gdelt_topic_pca_2,gdelt_topic_pca_3,gdelt_topic_pca_4,gdelt_topic_pca_5,gpr,ea_gpr,ea_gpr_diff,wui
2013-02-01,4.779364316493205,4.3289840084656594,3.711641807479984,1.3008204268406505,1.7000000000000073,-2.172829348,-0.739336735999586,-3.500000000000001,5.9,6.099999999999998,5.9999999999999964,6.399999999999996,5.000000000000002,4.7,7.299999999999993,7.899999999999998,4.899999999999995,5.4999999999999964,637.0,-1.504077434539795,-0.022472858428955,1.9315214157104488,0.0,1.9600948095321653,0.0,1.945910096168518,0.0,2.0014801025390625,0.0,1.7917594909667969,0.0,1.7404661178588867,0.0,2.116255521774292,0.0,2.186051368713379,0.0,1.7749522924423218,0.0,1.8718022108078003,0.0,0.0,4.779534816741943,4.331750392913818,4.775527477264404,4.340029239654541,0.0,0.0,-0.0082788467407226,-0.0010967254638671,13.505238124302457,7.421684880421256,0.07,1.91,0.23,2.82,,1.84,4.390614651860415,-3.801761702128818,10.06350656438752,4.5883718811921925,5.102789074679247,-0.0018475830040616,0.0013642785842761,0.0022334577374164,1.0166079826511254,8.353025845202325,1.972253653936822,16.474285744628997,0.038425271098538424,0.0884016973125884,-0.3323591234155497,-0.9468919915125891,0.5218988682345037,-0.11402031528133402,-0.3993540174500187,83.87836453974666,1.1202120179579498,0.219567468206641,0.38752
2013-03-01,4.782063578246486,4.33175199233675,3.6903550183116542,1.350440740274976,1.8000000000000074,-0.910639438,0.398620407543937,-3.600000000000001,5.9,6.099999999999998,6.199999999999997,6.399999999999996,5.000000000000002,4.7,7.299999999999993,7.899999999999998,4.899999999999995,5.4999999999999964,638.0,-1.5260562896728516,-0.0219788551330566,1.9315214157104488,0.0,1.9600948095321653,0.0,1.974081039428711,0.0281709432601928,2.0014801025390625,0.0,1.7917594909667969,0.0,1.7404661178588867,0.0,2.116255521774292,0.0,2.186051368713379,0.0,1.7749522924423218,0.0,1.8718022108078003,0.0,0.0496203117072582,4.779364109039307,4.328983783721924,4.779534816741943,4.331750392913818,0.1000000014901161,0.0,-0.0027666091918945,-0.0082788467407226,14.07263163516396,7.394843383910477,0.1,1.98,0.18,2.89,,1.88,4.3990066547085656,0.5673935108615051,10.050109174290608,4.593037886371524,4.806068832649212,0.0004340870975485,0.0013607729125929,0.004070895330171,1.0423838604804103,8.078067881815437,1.77243947858473,14.317886424417008,0.04283054003724395,0.10800744878957169,-0.5163381618312566,-0.11237349610429502,0.35335991910715664,0.15693307291531253,-0.7349582393653279,63.84775042833538,1.0224517565486129,-0.0977602614093369,0.38752
2013-04-01,4.785883606229505,4.336924621531416,3.68185735465749,1.4436354751788136,2.0000000000000075,1.220688112,1.12181674174349,-3.700000000000001,6.3,6.099999999999998,6.199999999999997,6.399999999999996,4.900000000000002,4.7,7.299999999999993,7.899999999999998,4.899999999999995,5.199999999999997,639.0,-1.5475624799728394,-0.0215061902999877,1.9878743886947632,0.0563529729843139,1.9600948095321653,0.0,1.974081039428711,0.0,2.0014801025390625,0.0,1.7749522924423218,-0.016807198524475,1.7404661178588867,0.0,2.116255521774292,0.0,2.186051368713379,0.0,1.7749522924423218,0.0,1.8245493173599243,-0.0472528934478759,0.0931947380304336,4.782063484191895,4.331751823425293,4.779364109039307,4.328983783721924,0.1000000014901161,0.0,0.0027680397033691,-0.0027666091918945,13.031500005722046,7.373428294642426,0.09,1.96,0.21,2.96,,1.87,4.409884962802278,-1.0411316294419135,10.02206782586964,4.597058374022851,4.972159008747826,-0.0016891760035153,0.0012740589616627,0.0049539788377703,0.996155494616278,4.727387818712341,2.2785714285714285,10.771690815494548,0.08928571428571429,0.09821428571428571,0.81580620979485,-1.2755642131393388,3.790289531121583,2.1573169905240945,1.46950070720721,77.13172365144038,1.0204515632611937,-0.0020001932874191,0.38752
2013-05-01,4.786595519584176,4.335293230797147,3.710663536867923,1.4436354751788136,2.0000000000000075,3.923053559,-0.271045517650312,-3.700000000000001,6.3,6.099999999999998,6.199999999999997,6.499999999999996,5.100000000000002,4.7,7.299999999999993,7.899999999999998,4.899999999999995,5.199999999999997,640.0,-1.5475624799728394,0.0,1.9878743886947632,0.0,1.9600948095321653,0.0,1.974081039428711,0.0,2.0149030685424805,0.0134229660034179,1.808288812637329,0.0333365201950073,1.7404661178588867,0.0,2.116255521774292,0.0,2.186051368713379,0.0,1.7749522924423218,0.0,1.8245493173599243,0.0,0.0,4.78588342666626,4.3369245529174805,4.782063484191895,4.331751823425293,-0.2000000029802322,0.1000000014901161,0.0051727294921875,0.0027680397033691,13.967272715135056,7.305092108624392,0.06,1.76,0.22,2.83,,1.7,4.404032714936497,0.9357727094130084,10.002350916430888,4.596195029497807,4.93136244422836,-0.0074502384930803,0.0040796379991381,0.0059662590144595,0.9455456583780508,4.736198448394496,1.2699115044247788,6.0145528968549575,0.035398230088495575,0.07964601769911504,-2.7213566065537513,2.758747196960793,1.1540023709279017,1.3442686171454237,-1.5532543771216873,99.32511340387532,1.016533872240939,-0.0039176910202547,0.31599
2013-06-01,4.782316175997579,4.336485331610221,3.718779233061807,1.4874828366412745,2.100000000000008,0.155678519,0.549076513769894,-3.700000000000001,6.3,6.299999999999998,6.199999999999997,6.499999999999996,5.100000000000002,4.7,7.299999999999993,7.899999999999998,5.199999999999995,5.199999999999997,641.0,-1.5475624799728394,0.0,1.9878743886947632,0.0,1.9878743886947632,0.0277795791625976,1.974081039428711,0.0,2.0149030685424805,0.0,1.808288812637329,0.0,1.7404661178588867,0.0,2.116255521774292,0.0,2.186051368713379,0.0,1.8245493173599243,0.0495970249176025,1.8245493173599243,0.0,0.0438473597168922,4.786595344543457,4.335293292999268,4.78588342666626,4.3369245529174805,0.1000000014901161,0.0,-0.0016312599182128,0.0051727294921875,13.493636304681951,7.254196941040835,0.04,1.93,0.24,2.79,,1.89,4.411221292953157,-0.4736364104531034,10.040245933914196,4.596975702731922,4.676314351115931,-0.0049924079397374,0.0028908508915228,0.0185977210897675,0.9197711602296595,5.634789603169249,3.521505376344086,19.84294188212827,0.0035842293906810036,0.035842293906810034,2.247132726506339,2.1518151318593803,2.1950024512891835,-0.3829059798714911,0.54058783588173,66.12562781454426,0.9666936507627424,-0.0498402214781964,0.31599
2013-07-01,4.788006568040219,4.343073374751796,3.805373552964588,1.4874828366412745,2.100000000000008,2.338848708,0.165486600081719,-3.800000000000001,6.3,6.299999999999998,6.199999999999997,6.499999999999996,5.100000000000002,4.7,7.299999999999993,7.999999999999997,5.199999999999995,5.199999999999997,642.0,-1.5686159133911133,-0.0210534334182739,1.9878743886947632,0.0,1.9878743886947632,0.0,1.974081039428711,0.0,2.0149030685424805,0.0,1.808288812637329,0.0,1.7404661178588867,0.0,2.116255521774292,0.0,2.1972246170043945,0.0111732482910156,1.8245493173599243,0.0,1.8245493173599243,0.0,0.0,4.782316207885742,4.336485385894775,4.786595344543457,4.335293292999268,-0.1000000014901161,-0.1000000014901161,0.0011920928955078,-0.0016312599182128,17.271499919891358,7.202921773143544,0.05,2.3,0.23,2.83,,2.25,4.419442836059304,3.777863615209407,9.955310706523283,4.599048486563044,4.859336299568902,0.00055413401682,0.0041003056386498,0.0168293240876988,0.9151678961976896,4.804021044733257,1.7966942148760332,8.63135681921496,0.0,0.09090909090909091,1.9277700308226215,3.6225397687865954,1.144818919149071,-0.03233502236290069,-2.0423420652783792,66.8991987952653,0.9220496378841976,-0.0446440128785449,0.31599
2013-08-01,4.792658222487076,4.3399928515467945,3.8209786096992895,1.5296604950904071,2.200000000000008,1.031043163,-1.21854584956486,-3.800000000000001,6.3,6.299999999999998,6.199999999999997,6.499999999999996,5.100000000000002,4.7,7.299999999999993,7.999999999999997,5.199999999999995,5.199999999999997,643.0,-1.5686159133911133,0.0,1.9878743886947632,0.0,1.9878743886947632,0.0,1.974081039428711,0.0,2.0149030685424805,0.0,1.808288812637329,0.0,1.7404661178588867,0.0,2.116255521774292,0.0,2.1972246170043945,0.0,1.8245493173599243,0.0,1.8245493173599243,0.0,0.0421776585280895,4.788006782531738,4.34307336807251,4.782316207885742,4.336485385894775,0.1000000014901161,0.1000000014901161,0.0065879821777343,0.0011920928955078,13.97454565221613,7.158915473147351,0.04,2.58,0.23,2.68,,2.54,4.42484663185681,-3.2969542676752277,9.965380730009304,4.595941734517294,4.677091200277516,-0.0014674952494182,0.0028070186450025,0.0121102273395059,0.8761387958252485,4.574710978503383,2.345833333333333,10.731509503739185,0.0,0.07291666666666667,1.728152895492642,2.0896192780472926,-0.14931761782674655,6.005425807397184,0.8515927483681636,41.9861196961509,1.0530741259548415,0.1310244880706441,0.14114
2013-09-01,4.7957816452768185,4.33377680949504,3.817970897345784,1.570278543484981,2.300000000000008,-2.505295438,-0.984017868740049,-4.000000000000001,6.3,6.299999999999998,6.199999999999997,6.499999999999996,5.100000000000002,4.8,7.299999999999993,7.999999999999997,5.199999999999995,5.099999999999997,644.0,-1.6094379425048828,-0.0408220291137695,1.9878743886947632,0.0,1.9878743886947632,0.0,1.974081039428711,0.0,2.0149030685424805,0.0,1.808288812637329,0.0,1.7578579187393188,0.0173918008804321,2.116255521774292,0.0,2.1972246170043945,0.0,1.8245493173599243,0.0,1.808288812637329,-0.0162605047225952,0.0406180471181869,4.79265832901001,4.339993000030518,4.788006782531738,4.34307336807251,0.0,-0.2000000029802322,-0.0030803680419921,0.0065879821777343,14.209999908100476,7.209149409990486,0.04,2.74,0.23,2.56,,2.7,4.421728001525434,0.2354542558843437,10.000325222158452,4.601707196756425,4.837991453573748,-0.0014859935619806,0.00117256468304,0.0085053204986531,0.8910750226079021,5.420534999272286,1.6497777777777778,8.9426781854661,0.022222222222222223,0.09777777777777778,0.5472712607777287,-1.122601588968076,2.0639059509078037,1.357870522171248,-1.908567872604214,99.35615848902783,1.2417358794259283,0.1886617534710866,0.14114
2013-10-01,4.79427319163333,4.337278793048697,3.761820260201232,1.570278543484981,2.300000000000008,-4.30270871,0.233114666538828,-4.1000000000000005,6.4,6.299999999999998,6.199999999999997,6.499999999999996,5.200000000000002,5.0,7.299999999999993,7.999999999999997,5.2999999999999945,5.099999999999997,645.0,-1.6292405128479004,-0.0198025703430175,2.0014801025390625,0.0136057138442993,1.9878743886947632,0.0,1.974081039428711,0.0,2.0149030685424805,0.0,1.8245493173599243,0.0162605047225952,1.7917594909667969,0.033901572227478,2.116255521774292,0.0,2.1972246170043945,0.0,1.8405495882034304,0.0160002708435058,1.808288812637329,0.0,0.0,4.79578161239624,4.333776950836182,4.79265832901001,4.339993000030518,-0.1000000014901161,0.1000000014901161,-0.0062160491943359,-0.0030803680419921,14.692000102996824,7.206822296300482,0.02,2.81,0.23,2.75,,2.79,4.416911036527384,0.4820001948963508,10.04150119692819,4.606778891327507,4.943322333625457,0.0001143856267538,0.0009186859131132,0.0153522548960868,0.8969187901024602,9.099743950634156,1.9660411081322609,17.890470680424613,0.03116621983914209,0.07975871313672922,0.9377575970632219,-0.5606116267775357,0.626102459954659,0.28029496780925484,-0.42934821029491044,142.848635652077,1.1448554262970032,-0.0968804531289251,0.14114
2013-11-01,4.799033197805859,4.341167842601605,3.6912261218574978,1.570278543484981,2.300000000000008,-0.662998263,0.586252258962154,-4.500000000000001,6.3,6.299999999999998,6.199999999999997,6.499999999999996,5.200000000000002,5.0,7.299999999999993,7.999999999999997,5.2999999999999945,5.099999999999997,646.0,-1.704748034477234,-0.0755075216293335,1.9878743886947632,-0.0136057138442993,1.9878743886947632,0.0,1.974081039428711,0.0,2.0149030685424805,0.0,1.8245493173599243,0.0,1.7917594909667969,0.0,2.116255521774292,0.0,2.1972246170043945,0.0,1.8405495882034304,0.0,1.808288812637329,0.0,0.0,4.794273376464844,4.337278842926025,4.79578161239624,4.333776950836182,0.0,-0.3000000119209289,0.0035018920898437,-0.0062160491943359,15.407826050468111,7.182792744275833,0.05,2.62,0.2,2.65,,2.5700000000000003,4.402809173856411,0.7158259474712878,10.047681481081444,4.605989849971768,5.109575997385656,-0.0042081884228228,0.0021854139509568,0.01605397826818,0.9302294100210506,9.08398318309966,1.9044938719927371,17.30039030549838,0.02882433045846573,0.09214707217430776,0.1413093453731687,-0.0027951414445418024,0.5905484018985612,0.2191462247952019,-0.8081149694604657,59.13499880251033,0.8975120133239862,-0.2473434129730169,0.15803
