,wui
2009-06-01,21794.0
2009-07-01,18972.0
2009-08-01,18972.0
2009-09-01,18972.0
2009-10-01,14507.0
2009-11-01,14507.0
2009-12-01,14507.0
2010-01-01,18952.0
2010-02-01,18952.0
2010-03-01,18952.0
2010-04-01,19712.0
2010-05-01,19712.0
2010-06-01,19712.0
2010-07-01,21449.0
2010-08-01,21449.0
2010-09-01,21449.0
2010-10-01,19653.0
2010-11-01,19653.0
2010-12-01,19653.0
2011-01-01,14902.0
2011-02-01,14902.0
2011-03-01,14902.0
2011-04-01,13398.0
2011-05-01,13398.0
2011-06-01,13398.0
2011-07-01,14121.0
2011-08-01,14121.0
2011-09-01,14121.0
2011-10-01,20228.0
2011-11-01,20228.0
2011-12-01,20228.0
2012-01-01,19437.0
2012-02-01,19437.0
2012-03-01,19437.0
2012-04-01,18630.0
2012-05-01,18630.0
2012-06-01,18630.0
2012-07-01,36828.0
2012-08-01,36828.0
2012-09-01,36828.0
2012-10-01,25945.0
2012-11-01,25945.0
2012-12-01,25945.0
2013-01-01,38752.0
2013-02-01,38752.0
2013-03-01,38752.0
2013-04-01,31599.0
2013-05-01,31599.0
2013-06-01,31599.0
2013-07-01,14114.0
2013-08-01,14114.0
2013-09-01,14114.0
2013-10-01,15803.0
2013-11-01,15803.0
2013-12-01,15803.0
2014-01-01,18492.0
2014-02-01,18492.0
2014-03-01,18492.0
2014-04-01,19537.0
2014-05-01,19537.0
2014-06-01,19537.0
2014-07-01,20086.0
2014-08-01,20086.0
2014-09-01,20086.0
2014-10-01,14211.0
2014-11-01,14211.0
2014-12-01,14211.0
2015-01-01,17252.0
2015-02-01,17252.0
2015-03-01,17252.0
2015-04-01,29838.0
2015-05-01,29838.0
2015-06-01,29838.0
2015-07-01,25361.0
2015-08-01,25361.0
2015-09-01,25361.0
2015-10-01,21280.0
2015-11-01,21280.0
2015-12-01,21280.0
2016-01-01,18518.0
2016-02-01,18518.0
2016-03-01,18518.0
2016-04-01,22826.0
2016-05-01,22826.0
2016-06-01,22826.0
2016-07-01,18513.0
2016-08-01,18513.0
2016-09-01,18513.0
2016-10-01,30182.0
2016-11-01,30182.0
2016-12-01,30182.0
2017-01-01,32031.0
2017-02-01,32031.0
2017-03-01,32031.0
2017-04-01,29910.0
2017-05-01,29910.0
2017-06-01,29910.0
2017-07-01,16514.0
2017-08-01,16514.0
2017-09-01,16514.0
2017-10-01,16326.0
2017-11-01,16326.0
2017-12-01,16326.0
2018-01-01,28397.0
2018-02-01,28397.0
2018-03-01,28397.0
2018-04-01,13622.0
2018-05-01,13622.0
2018-06-01,13622.0
2018-07-01,25653.0
2018-08-01,25653.0
2018-09-01,25653.0
2018-10-01,28711.0
2018-11-01,28711.0
2018-12-01,28711.0
2019-01-01,26443.0
2019-02-01,26443.0
2019-03-01,26443.0
2019-04-01,36588.0
2019-05-01,36588.0
2019-06-01,36588.0
2019-07-01,40489.0
2019-08-01,40489.0
2019-09-01,40489.0
2019-10-01,32801.0
2019-11-01,32801.0
2019-12-01,32801.0
2020-01-01,52716.0
2020-02-01,52716.0
2020-03-01,52716.0
2020-04-01,55685.0
2020-05-01,55685.0
2020-06-01,55685.0
2020-07-01,28914.0
2020-08-01,28914.0
2020-09-01,28914.0
2020-10-01,27498.0
2020-11-01,27498.0
2020-12-01,27498.0
2021-01-01,22320.0
2021-02-01,22320.0
2021-03-01,22320.0
2021-04-01,11889.0
2021-05-01,11889.0
2021-06-01,11889.0
2021-07-01,18073.0
2021-08-01,18073.0
2021-09-01,18073.0
2021-10-01,21509.0
2021-11-01,21509.0
2021-12-01,21509.0
2022-01-01,19803.0
2022-02-01,19803.0
