,ea_gpr,ea_gpr_diff
1990-01-01,,
1990-02-01,,
1990-03-01,,
1990-04-01,,
1990-05-01,,
1990-06-01,,
1990-07-01,,
1990-08-01,,
1990-09-01,,
1990-10-01,,
1990-11-01,,
1990-12-01,,
1991-01-01,,
1991-02-01,,
1991-03-01,,
1991-04-01,,
1991-05-01,,
1991-06-01,,
1991-07-01,,
1991-08-01,,
1991-09-01,,
1991-10-01,,
1991-11-01,,
1991-12-01,,
1992-01-01,,
1992-02-01,,
1992-03-01,,
1992-04-01,,
1992-05-01,,
1992-06-01,,
1992-07-01,,
1992-08-01,,
1992-09-01,,
1992-10-01,,
1992-11-01,,
1992-12-01,,
1993-01-01,,
1993-02-01,,
1993-03-01,,
1993-04-01,,
1993-05-01,,
1993-06-01,,
1993-07-01,,
1993-08-01,,
1993-09-01,,
1993-10-01,,
1993-11-01,,
1993-12-01,,
1994-01-01,,
1994-02-01,,
1994-03-01,,
1994-04-01,,
1994-05-01,,
1994-06-01,,
1994-07-01,,
1994-08-01,,
1994-09-01,,
1994-10-01,,
1994-11-01,,
1994-12-01,,
1995-01-01,,
1995-02-01,,
1995-03-01,,
1995-04-01,,
1995-05-01,,
1995-06-01,,
1995-07-01,,
1995-08-01,,
1995-09-01,,
1995-10-01,,
1995-11-01,,
1995-12-01,,
1996-01-01,,
1996-02-01,,
1996-03-01,,
1996-04-01,,
1996-05-01,,
1996-06-01,,
1996-07-01,,
1996-08-01,,
1996-09-01,,
1996-10-01,,
1996-11-01,,
1996-12-01,,
1997-01-01,,
1997-02-01,,
1997-03-01,,
1997-04-01,,
1997-05-01,,
1997-06-01,,
1997-07-01,,
1997-08-01,,
1997-09-01,,
1997-10-01,,
1997-11-01,,
1997-12-01,,
1998-01-01,1.1302313063224454,
1998-02-01,1.3895446422966498,0.25931333597420436
1998-03-01,1.1519041416476952,-0.2376405006489546
1998-04-01,0.9997213912094243,-0.1521827504382709
1998-05-01,1.224290236933042,0.22456884572361768
1998-06-01,1.3492459884055845,0.12495575147254256
1998-07-01,1.0338335291865486,-0.31541245921903593
1998-08-01,1.4441406148388156,0.41030708565226703
1998-09-01,1.004010160417756,-0.4401304544210596
1998-10-01,1.0173125676324009,0.013302407214644818
1998-11-01,1.121221214314666,0.10390864668226518
1998-12-01,1.2680380304230692,0.14681681610840314
1999-01-01,1.3013698251780637,0.03333179475499448
1999-02-01,1.176435402195906,-0.12493442298215762
1999-03-01,1.4539790576642873,0.2775436554683812
1999-04-01,2.434858332050344,0.9808792743860566
1999-05-01,1.7512657533672997,-0.6835925786830441
1999-06-01,1.3863007625960642,-0.36496499077123556
1999-07-01,1.187833366938535,-0.19846739565752913
1999-08-01,1.2783773584493026,0.09054399151076753
1999-09-01,1.1348667742650567,-0.1435105841842459
1999-10-01,1.24634274202042,0.11147596775536339
1999-11-01,1.2453435094171839,-0.0009992326032361998
1999-12-01,1.3517730004509447,0.10642949103376087
2000-01-01,1.0651285484633646,-0.28664445198758015
2000-02-01,1.0395101063174796,-0.025618442145884934
2000-03-01,1.0333660143785028,-0.006144091938976803
2000-04-01,1.0047221963330562,-0.02864381804544669
2000-05-01,1.1962393379043939,0.1915171415713377
2000-06-01,1.0373126700810629,-0.15892666782333098
2000-07-01,1.130831847478302,0.09351917739723903
2000-08-01,1.2189675395295987,0.08813569205129679
2000-09-01,1.0667721329313,-0.15219540659829867
2000-10-01,1.2589230303934933,0.19215089746219327
2000-11-01,1.0127572009501056,-0.24616582944338772
2000-12-01,0.978061161708971,-0.034696039241134624
2001-01-01,1.105470577022525,0.1274094153135541
2001-02-01,1.2165814339226704,0.11111085690014533
2001-03-01,1.2535229412252837,0.03694150730261336
2001-04-01,1.282643548959049,0.029120607733765347
2001-05-01,1.1481035085873512,-0.13454004037169787
2001-06-01,1.1063024279623155,-0.041801080625035736
2001-07-01,1.0443429485375246,-0.06195947942479085
2001-08-01,1.3100292353069176,0.265686286769393
2001-09-01,2.5783831428211594,1.2683539075142418
2001-10-01,2.6690684179255,0.09068527510434077
2001-11-01,1.9469928990715033,-0.7220755188539969
2001-12-01,1.659098501352888,-0.28789439771861525
2002-01-01,1.231601817158612,-0.427496684194276
2002-02-01,1.233565702088476,0.0019638849298639904
2002-03-01,1.3779217169757587,0.14435601488728267
2002-04-01,1.5167704020999326,0.13884868512417392
2002-05-01,1.4201353876444476,-0.09663501445548506
2002-06-01,1.2008715379218908,-0.21926384972255675
2002-07-01,1.2705079210509582,0.06963638312906739
2002-08-01,1.5204518058404466,0.24994388478948837
2002-09-01,1.8502366760995845,0.32978487025913794
2002-10-01,1.496576365012455,-0.3536603110871295
2002-11-01,1.4368625844826868,-0.05971378052976828
2002-12-01,1.557271843246328,0.12040925876364117
2003-01-01,2.2369146693778115,0.6796428261314835
2003-02-01,2.69677814737445,0.4598634779966386
2003-03-01,3.6199273837868295,0.9231492364123794
2003-04-01,2.550402920530339,-1.0695244632564904
2003-05-01,1.544539828194359,-1.0058630923359801
2003-06-01,1.4187068962405156,-0.12583293195384337
2003-07-01,1.3844606470664045,-0.03424624917411112
2003-08-01,1.5878256818627072,0.20336503479630275
2003-09-01,1.2838270529364866,-0.30399862892622065
2003-10-01,1.2683031550497201,-0.015523897886766447
2003-11-01,1.4498964486831436,0.18159329363342347
2003-12-01,1.3728096032725052,-0.07708684541063837
2004-01-01,1.2522645983251335,-0.12054500494737175
2004-02-01,1.3027951723586926,0.050530574033559095
2004-03-01,1.5528435238906022,0.25004835153190963
2004-04-01,1.5869934269157067,0.034149903025104456
2004-05-01,1.40123164636754,-0.1857617805481666
2004-06-01,1.331495585212816,-0.06973606115472397
2004-07-01,1.1665110089742576,-0.16498457623855844
2004-08-01,1.5936547297458452,0.4271437207715876
2004-09-01,1.5540109531722544,-0.03964377657359086
2004-10-01,1.3920785322943212,-0.16193242087793314
2004-11-01,1.5380601620186662,0.14598162972434503
2004-12-01,1.2112774161930686,-0.32678274582559763
2005-01-01,1.2752331397900019,0.06395572359693324
2005-02-01,1.3742979815359462,0.09906484174594432
2005-03-01,1.2445748363533695,-0.12972314518257666
2005-04-01,1.1298144730687847,-0.11476036328458483
2005-05-01,1.304082639466316,0.1742681663975314
2005-06-01,1.039411962930949,-0.264670676535367
2005-07-01,1.353870147381077,0.31445818445012796
2005-08-01,1.4649063214545472,0.11103617407347022
2005-09-01,1.1411767629605658,-0.32372955849398144
2005-10-01,1.1597090249268864,0.01853226196632063
2005-11-01,1.100650055126423,-0.05905896980046332
2005-12-01,1.066403231776762,-0.034246823349661115
2006-01-01,1.3760683899282256,0.30966515815146356
2006-02-01,1.1235041742539693,-0.25256421567425624
2006-03-01,0.9935717692841941,-0.1299324049697752
2006-04-01,1.2213108984998438,0.22773912921564965
2006-05-01,0.9558603143271037,-0.26545058417274003
2006-06-01,1.019970180461071,0.0641098661339673
