Unnamed: 0,bertopic_0,bertopic_1,bertopic_2,bertopic_3,bertopic_4,bertopic_5,bertopic_6,bertopic_7,bertopic_8,bertopic_9,bertopic_10,bertopic_11,bertopic_12,bertopic_13,bertopic_14,bertopic_15,bertopic_16,bertopic_17,bertopic_18,bertopic_19,bertopic_20,bertopic_conflict,date
2016-12-01,0.5909090909090909,0.0,0.0454545454545454,0.0,0.0909090909090909,0.0454545454545454,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7727272727272728,2016-12-01
2017-01-01,0.40625,0.0,0.125,0.0625,0.09375,0.09375,0.0,0.03125,0.03125,0.0,0.03125,0.0625,0.0,0.0,0.0,0.03125,0.0,0.0,0.03125,0.0,0.0,0.59375,2017-01-01
2017-02-01,0.45,0.0,0.15,0.05,0.0,0.0,0.1,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,2017-02-01
2017-03-01,0.3076923076923077,0.0,0.2307692307692307,0.0769230769230769,0.1153846153846153,0.0,0.0384615384615384,0.0384615384615384,0.0769230769230769,0.0,0.0384615384615384,0.0,0.0384615384615384,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.5769230769230768,2017-03-01
2017-04-01,0.3333333333333333,0.0,0.0606060606060606,0.1212121212121212,0.0303030303030303,0.0303030303030303,0.0,0.0303030303030303,0.0303030303030303,0.0,0.303030303030303,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7878787878787878,2017-04-01
2017-05-01,0.5,0.0625,0.03125,0.09375,0.0,0.0,0.0,0.0,0.03125,0.03125,0.1875,0.0,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,2017-05-01
2017-06-01,0.1578947368421052,0.0,0.1052631578947368,0.0526315789473684,0.1052631578947368,0.0,0.0526315789473684,0.3157894736842105,0.0,0.0,0.0526315789473684,0.1052631578947368,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894723,2017-06-01
2017-07-01,0.4375,0.0,0.0625,0.125,0.0,0.0625,0.0625,0.125,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,2017-07-01
2017-08-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2017-08-01
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-01
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-01
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-11-01
2017-12-01,,,,,,,,,,,,,,,,,,,,,,0.0,2017-12-01
2018-01-01,0.2857142857142857,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.0,0.4285714285714285,2018-01-01
2018-02-01,0.3636363636363636,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,2018-02-01
