,gpr,gpr_threats,gpr_acts
1990-01-01,58.92372670371584,65.63974124462305,23.588532689934496
1990-02-01,59.63557699585029,64.82161327863021,31.629690655013437
1990-03-01,50.71423041231948,56.40388980018864,20.911524499286855
1990-04-01,59.21856593728268,64.14506945145101,35.88338420710416
1990-05-01,62.078420292626504,69.56649837040244,26.237374720640773
1990-06-01,52.670893515128206,55.546513806100975,36.150819442789455
1990-07-01,59.61621687728501,65.96700291291077,29.69780002453104
1990-08-01,187.9398581190895,212.9459836657257,74.22758703699827
1990-09-01,138.82184623106357,155.6222348994618,50.41108149752328
1990-10-01,110.35476534900333,123.10749808232887,50.37609745988344
1990-11-01,164.9151266103231,186.73574933144926,68.17619938888498
1990-12-01,156.04328393824133,178.32683662898862,44.06346946186948
1991-01-01,332.0253739365202,336.4510076932909,348.5324035460744
1991-02-01,137.87871202598103,104.29719724451854,319.47322669608536
1991-03-01,73.74194784353048,62.567723075879925,132.90411776467167
1991-04-01,34.308642540720584,34.84169222611727,28.64298132426042
1991-05-01,38.53660364429299,37.62137703488677,39.32928117938885
1991-06-01,36.49405456925315,35.11047672573153,39.687925993799645
1991-07-01,62.627480403679726,67.31138275275828,42.05851401033151
1991-08-01,49.993267299389785,55.36992662699092,25.44639802565966
1991-09-01,61.63728955187954,70.84323812058604,14.250082082875789
1991-10-01,41.528605839937974,44.943805437649544,21.576949686396546
1991-11-01,35.20614493307963,34.60772952857554,43.50829729549546
1991-12-01,44.118419015149165,46.96059075388333,28.413867156473493
1992-01-01,47.22535413140846,50.280325037042026,28.454140913240494
1992-02-01,41.05422239823872,40.34984991392207,42.385394949746946
1992-03-01,36.49836021407855,36.033038179772625,41.77872566415281
1992-04-01,31.630067675132885,32.61219335532161,27.298860630473566
1992-05-01,35.66094584082174,35.585179923660455,35.72636152579178
1992-06-01,46.972483697732656,51.6907759157303,21.928216633128688
1992-07-01,52.65489826835369,54.765927889801105,59.042640441349626
1992-08-01,54.22308540513471,51.98029355309204,64.57803270259394
1992-09-01,33.94190420315111,33.441247204131756,36.35776068439957
1992-10-01,29.538812808208153,32.41003989554966,13.257925070386406
1992-11-01,32.91313309420664,32.31320035815889,34.289677696516065
1992-12-01,53.85784211844813,60.041973263963214,19.68688136134265
1993-01-01,84.45170385697493,78.0264326987443,141.2864459699277
1993-02-01,35.55383384155905,31.95220213884302,50.85989785401518
1993-03-01,41.28082471390542,33.60889028098736,79.43483571061351
1993-04-01,46.785794702597,45.09531061268535,58.90116836229492
1993-05-01,54.37788813845057,56.358354530593004,45.5514032168245
1993-06-01,51.82169097426441,48.187879543546906,81.76888375169038
1993-07-01,58.85470012936468,49.98390947702467,102.7280891218273
1993-08-01,48.62351786629755,37.06062863047652,116.79072300935556
1993-09-01,38.15541910906951,36.38964748494168,43.003586928437
1993-10-01,38.61344374737475,36.31181976411673,50.0072349335397
1993-11-01,34.20673159561743,35.46054228143913,27.93707584298367
1993-12-01,29.10719545210648,27.944409969302125,31.93471591281913
1994-01-01,45.02851880550678,41.957437327183285,64.16667670482147
1994-02-01,57.068131892202544,46.2366227784508,120.20862200045084
1994-03-01,33.63472914899956,29.778446219268396,50.17299019812884
1994-04-01,49.507654734296764,41.58968069317015,98.29748692975265
1994-05-01,35.036033051484516,31.696493905931177,47.60945273649077
1994-06-01,43.62322480999162,45.235566197638,37.820117017327235
1994-07-01,41.40938887489533,41.03572518232054,43.754079426551165
1994-08-01,38.13565346931392,31.57187202022999,70.14310973298875
1994-09-01,49.95757895686962,51.4071187937686,44.45160994241663
1994-10-01,53.041009374083195,49.828726734429566,67.4942201783309
1994-11-01,37.782550262091895,30.23403572105855,77.29167875808041
1994-12-01,42.69173084889926,43.35502767479482,41.58198688896031
1995-01-01,31.74523723158731,28.306940105571744,46.54166344900315
1995-02-01,30.535430072064724,28.791364104319207,40.672714812013034
1995-03-01,28.114147290001334,23.22623355856737,51.42096777778836
1995-04-01,41.68649131601436,29.632775650658616,103.59678387324038
1995-05-01,43.73002516669878,31.219082705666267,101.72509092114899
1995-06-01,44.51605414483972,30.905414193811183,109.19881308769801
1995-07-01,43.07132067120918,39.691979865971774,61.05242213537064
1995-08-01,43.71812032269533,38.19875826831595,73.450591912441
1995-09-01,32.502647754779716,29.146798370861966,50.24819308043492
