,protest_count,military_count,diplomatic_count,total_events,goldstein_mean,goldstein_sum,theme_1,theme_2,theme_3,theme_4,theme_5,theme_6,theme_7,theme_8,theme_9,theme_10,theme_11,theme_12,theme_13,theme_14,theme_15,theme_16,theme_17,theme_18,theme_19,theme_20
2007-10-01,33,125,1694,2947,1.533695283338989,4519.8,308,161,288,926,353,127,45,36,32,37,212,105,66,32,1,52,36,5,124,1
2007-11-01,11,32,1372,2349,1.9318433375904638,4537.9,317,129,310,669,236,157,38,22,40,24,178,74,38,9,2,11,49,14,30,2
2007-12-01,7,36,1467,2335,2.1956745182012845,5126.9,258,144,201,865,258,143,36,20,38,32,132,79,17,7,0,14,52,3,36,0
2008-01-01,5,45,1565,2358,2.3276505513146737,5488.6,284,122,315,905,202,143,29,40,29,19,92,54,29,3,2,7,31,7,44,1
2008-02-01,4,140,1498,3032,1.1853232189973615,3593.9,360,187,224,843,239,192,79,47,189,59,212,33,29,4,0,11,175,9,140,0
2008-03-01,62,41,1426,2679,1.8377379619260918,4923.3,280,313,187,823,206,210,72,22,44,36,208,75,15,48,14,16,58,11,41,0
2008-04-01,156,62,2144,3654,1.456896551724138,5323.5,364,279,282,1429,293,140,44,49,38,48,225,59,63,138,18,29,87,7,62,0
2008-05-01,41,37,1471,2578,2.230721489526765,5750.8,353,126,272,854,174,171,149,29,72,24,145,22,22,33,8,14,64,9,37,0
2008-06-01,16,74,1435,2404,2.3344009983361063,5611.9,304,141,221,785,289,140,66,50,60,28,108,38,15,13,3,6,48,15,74,0
2008-07-01,12,73,1320,2088,1.8015325670498084,3761.6,202,90,176,892,113,139,39,45,34,18,94,95,5,12,0,11,33,17,73,0
2008-08-01,11,64,965,1715,1.356268221574344,2326.0,216,88,111,617,127,110,19,43,42,9,97,56,10,11,0,9,83,3,64,0
2008-09-01,6,29,947,1555,2.34411575562701,3645.1,197,101,192,565,88,102,51,16,19,17,64,30,17,6,0,13,44,4,29,0
2008-10-01,17,40,932,1837,1.3860642351660315,2546.2,240,128,110,518,105,199,43,47,33,16,143,70,46,17,0,32,31,19,40,0
2008-11-01,9,22,1246,2070,2.499855072463768,5174.7,320,115,228,579,222,217,64,48,27,16,66,31,27,9,0,17,57,5,22,0
2008-12-01,7,41,1382,2248,2.4625,5535.7,316,131,197,656,300,229,62,26,17,14,79,53,8,5,2,22,90,0,41,0
2009-01-01,8,77,1491,2754,1.7346768336964415,4777.3,402,146,181,748,374,188,97,38,18,26,280,40,16,0,8,48,61,6,77,0
2009-02-01,14,20,2396,3759,2.2844905559989357,8587.4,436,186,367,1429,351,249,83,46,15,46,254,59,42,14,0,72,80,10,20,0
2009-03-01,75,96,2154,4425,1.4133107344632767,6253.9,573,284,381,1159,375,239,81,97,115,80,475,124,34,75,0,44,172,21,96,0
2009-04-01,18,84,2323,3921,1.9585564906911501,7679.5,466,187,366,1406,315,236,105,41,50,62,210,129,67,17,1,60,111,8,84,0
2009-05-01,22,60,2721,4297,2.2549918547824066,9689.7,494,226,363,1586,435,337,115,74,41,32,192,97,32,18,4,20,161,10,58,2
2009-06-01,37,99,2789,4754,1.7968657972233906,8542.3,552,296,375,1813,286,315,78,105,49,39,296,87,90,19,18,54,162,21,99,0
2009-07-01,30,82,2928,4660,2.1743776824034335,10132.6,522,215,440,1533,670,285,88,69,52,66,310,92,35,24,6,28,128,15,82,0
2009-08-01,46,103,2019,3531,1.8491079014443499,6529.2,368,219,301,1170,280,268,120,73,40,46,209,85,48,2,44,26,115,14,103,0
2009-09-01,32,143,5051,7389,2.5126674786845307,18566.1,716,339,1036,2870,623,522,128,94,118,88,368,113,71,26,6,42,80,6,143,0
2009-10-01,17,77,4091,6058,2.484747441399802,15052.6,482,260,764,2285,624,418,142,117,81,58,307,140,46,13,4,42,176,22,77,0
2009-11-01,22,120,3590,5802,1.9791795932437093,11483.2,583,354,673,1857,713,347,116,86,110,69,302,218,31,17,5,25,140,36,120,0
2009-12-01,20,106,3197,5437,2.4527312856354606,13335.5,529,358,838,1460,520,379,172,116,109,77,358,150,38,8,12,21,159,27,106,0
2010-01-01,67,187,3001,6554,1.1101769911504424,7276.1,706,394,519,1710,389,383,194,190,210,82,705,138,206,61,6,179,282,13,187,0
2010-02-01,72,240,4366,8262,1.149927378358751,9500.7,833,557,787,2671,577,331,152,187,43,182,720,260,206,64,8,262,163,19,240,0
2010-03-01,11,40,871,1684,1.4922802850356294,2513.0,207,91,125,508,119,119,37,40,35,40,135,54,32,10,1,33,58,0,40,0
2010-04-01,8,53,1870,2972,2.292092866756393,6812.1,316,186,388,1013,248,221,76,49,22,62,151,59,24,8,0,29,55,12,53,0
2010-05-01,9,57,2300,3486,2.4588640275387266,8571.6,308,259,364,1337,406,193,58,63,19,48,162,73,29,7,2,18,70,13,57,0
2010-06-01,22,66,972,1827,1.8181171319102352,3321.7,260,146,139,480,199,154,44,38,20,26,94,67,4,8,14,11,45,12,66,0
2010-07-01,55,48,1124,2470,1.3345344129554657,3296.3,421,181,158,616,176,174,63,54,74,30,144,67,64,16,39,13,116,16,48,0
2010-08-01,63,176,2917,5402,1.6492595335061087,8909.3,657,300,482,1656,308,471,202,99,67,88,297,129,91,22,41,84,216,16,176,0
2010-09-01,37,126,4004,6895,1.90854242204496,13159.4,842,445,713,2105,638,548,139,141,68,116,406,217,131,5,32,41,162,20,126,0
2010-10-01,47,245,3493,6399,1.5157680887638694,9699.4,800,359,559,2025,485,424,120,130,108,101,546,139,73,26,21,66,148,24,245,0
2010-11-01,80,227,3740,6942,1.505128205128205,10448.6,686,557,795,2172,422,351,156,133,57,199,536,245,123,25,55,58,124,21,227,0
2010-12-01,54,137,4014,6762,2.071354628808045,14006.5,727,504,777,2274,631,332,123,107,80,185,368,159,81,21,33,46,159,18,137,0
2011-01-01,35,211,6074,9323,2.0437627373163143,19054.0,1077,488,1129,3483,1049,413,144,97,73,132,488,127,88,28,7,76,185,28,210,1
2011-02-01,35,86,2099,3751,1.5564916022394026,5838.4,466,210,308,1176,377,238,93,50,51,42,270,71,43,27,8,59,160,16,86,0
2011-03-01,25,114,2560,4474,1.5568171658471166,6965.2,474,231,417,1601,298,244,160,107,52,78,252,117,60,22,3,85,137,22,114,0
2011-04-01,29,112,2301,4402,1.4348023625624715,6316.0,522,331,402,1300,412,187,84,123,54,62,434,39,39,24,5,26,225,21,112,0
2011-05-01,19,98,2781,4880,1.7719877049180326,8647.3,489,286,438,1598,511,234,149,124,98,56,355,94,54,18,1,49,200,28,98,0
2011-06-01,24,153,2590,4939,1.435412026726058,7089.5,519,380,382,1527,460,221,125,159,100,54,429,129,112,19,5,34,114,17,153,0
2011-07-01,65,141,3820,6662,1.3647703392374664,9092.1,641,453,562,2426,588,244,106,121,85,114,474,116,140,23,42,203,161,22,141,0
2011-08-01,28,182,3028,5657,1.4344175357963584,8114.5,664,430,512,1759,454,303,155,80,132,57,425,102,103,14,14,61,178,32,181,1
2011-09-01,38,143,2841,5163,1.598760410613984,8254.4,566,384,504,1512,511,314,193,76,65,38,299,167,105,34,4,61,154,33,143,0
2011-10-01,12,87,2252,3938,1.5988826815642456,6296.4,438,236,320,1221,375,336,107,46,62,51,262,145,87,12,0,39,65,49,87,0
2011-11-01,55,103,3272,5841,1.6640472521828455,9719.7,749,371,513,1880,595,284,127,121,92,83,488,141,97,28,27,29,95,18,103,0
2011-12-01,25,91,1916,3587,1.6252857541120713,5829.9,377,298,280,1102,303,231,98,80,52,49,231,109,20,19,6,90,132,19,91,0
2012-01-01,20,139,2468,4764,1.3711586901763224,6532.2,598,299,371,1389,461,247,126,116,86,77,276,185,156,7,13,91,105,22,139,0
2012-02-01,44,175,6349,9602,1.8708914809414705,17964.3,795,400,991,3898,829,631,124,162,107,123,474,297,127,38,6,194,191,40,170,5
2012-03-01,54,200,3791,6439,1.788476471501786,11516.0,767,341,516,2285,463,527,145,103,116,81,399,146,48,33,21,64,146,38,200,0
2012-04-01,68,160,3657,6329,2.074940748933481,13132.3,776,416,552,2321,373,411,183,129,90,61,389,115,47,17,51,36,181,21,160,0
2012-05-01,37,252,6275,10538,1.8673752135130006,19678.4,1141,541,825,4246,776,428,193,306,194,190,751,147,104,22,15,77,291,39,252,0
2012-06-01,48,109,3905,6605,1.9795912187736564,13075.2,704,386,622,2545,374,364,137,156,95,59,434,219,55,43,5,30,239,29,109,0
2012-07-01,22,223,3310,6007,1.5738138838022306,9453.9,675,300,420,1967,465,458,162,92,85,59,537,233,69,17,5,42,160,38,223,0
2012-08-01,53,168,2666,5055,1.4087636003956479,7121.3,574,219,417,1526,366,357,120,190,51,53,504,141,75,48,5,54,162,25,168,0
2012-09-01,67,255,3878,7107,1.4447586886168566,10267.9,892,397,535,2336,507,500,114,103,64,77,690,216,140,39,28,46,147,21,251,4
2012-10-01,85,174,2634,5000,1.3629200000000001,6814.6,681,256,302,1485,366,481,124,103,100,62,304,136,102,68,17,47,177,15,174,0
2012-11-01,21,125,2835,5198,1.7967679876875722,9339.6,762,353,380,1655,472,328,138,103,90,83,296,117,67,16,5,15,164,29,125,0
2012-12-01,19,175,2244,4269,1.4882642304989457,6353.4,505,280,349,1305,318,272,127,106,46,52,275,125,48,18,1,59,194,14,170,5
2013-01-01,19,134,2465,4242,1.972253653936822,8366.3,515,275,377,1395,385,308,67,112,63,24,228,118,21,9,10,38,134,29,128,6
2013-02-01,28,117,1826,3222,1.77243947858473,5710.8,354,168,260,1048,277,241,61,73,29,36,262,65,49,26,2,36,97,21,117,0
2013-03-01,0,10,78,112,2.2785714285714285,255.2,2,3,19,31,19,9,8,0,0,0,8,2,0,0,0,0,1,0,10,0
2013-04-01,0,4,55,113,1.2699115044247788,143.5,8,0,0,29,5,21,4,2,3,0,29,3,0,0,0,2,3,0,4,0
2013-05-01,0,1,216,279,3.521505376344086,982.5,14,12,35,95,19,67,4,0,2,1,20,0,8,0,0,1,0,0,1,0
2013-06-01,0,0,86,121,1.7966942148760332,217.4,6,2,3,66,0,17,4,1,3,2,1,5,3,0,0,5,3,0,0,0
2013-07-01,0,0,67,96,2.345833333333333,225.2,3,2,25,17,6,19,0,0,8,2,3,4,0,0,0,2,5,0,0,0
2013-08-01,4,5,132,225,1.6497777777777778,371.2,22,20,48,67,0,17,11,0,0,2,14,2,1,4,0,1,11,0,5,0
2013-09-01,42,238,5711,8952,1.9660411081322609,17600.0,834,475,1145,3373,721,472,167,204,109,86,433,219,71,26,16,81,241,41,234,4
2013-10-01,51,217,5250,8812,1.9044938719927373,16782.4,980,514,709,3437,617,487,188,109,182,152,442,183,137,41,10,123,247,37,217,0
2013-11-01,113,249,6321,10600,1.9257452830188682,20412.9,1090,564,1199,3968,753,401,208,148,233,121,840,262,117,84,29,98,193,43,249,0
2013-12-01,0,1,65,124,1.6524193548387098,204.9,26,4,14,31,4,16,2,3,0,1,4,7,0,0,0,1,10,0,1,0
2014-01-01,36,160,3187,6233,1.3890261511310764,8657.8,841,408,564,1628,603,392,111,173,78,90,573,205,96,33,3,38,182,55,160,0
2014-02-01,50,190,4700,8661,1.592564369010507,13793.2,993,638,849,2497,992,362,148,151,133,111,735,245,160,27,23,121,257,29,186,4
2014-03-01,47,159,4435,7606,1.7596371285826977,13383.8,822,348,869,2503,754,309,225,132,248,72,623,188,57,29,18,36,184,30,159,0
2014-04-01,56,163,4158,7636,1.5849921424829754,12103.0,1040,366,1013,2174,599,372,164,122,170,83,678,160,203,19,37,65,191,17,163,0
2014-05-01,93,395,4824,11211,0.6828739630719829,7655.7,1361,627,1026,2496,805,497,272,234,344,146,1494,339,212,53,40,145,686,39,394,1
2014-06-01,84,206,3724,7532,1.2880377057886352,9701.5,902,503,763,1776,740,445,164,176,266,74,632,257,114,43,41,41,354,35,203,3
2014-07-01,95,280,4935,9327,1.436313927307816,13396.5,1036,447,816,2790,769,560,234,177,198,97,941,271,119,45,50,61,400,36,280,0
2014-08-01,111,269,3888,7976,1.0230817452357073,8160.1,907,487,581,2277,605,425,204,156,142,84,867,257,105,72,39,38,418,43,269,0
2014-09-01,64,182,4614,8074,1.6733960862026258,13511.0,909,421,758,2618,696,542,204,156,119,63,553,191,83,45,19,63,393,59,182,0
2014-10-01,107,188,4709,8591,1.5411593528110814,13240.1,887,444,683,2641,847,538,208,187,121,129,853,209,180,74,33,37,307,25,188,0
2014-11-01,86,302,7613,12174,2.01961557417447,24586.8,1082,728,1975,3609,1470,559,307,207,121,81,650,249,154,65,21,243,293,58,302,0
2014-12-01,51,213,4450,7943,1.711796550421755,13596.8,671,542,955,2312,657,526,223,223,115,104,566,206,85,34,17,73,313,108,213,0
2015-01-01,49,301,4435,7555,1.8258371939113172,13794.2,854,346,863,2353,736,483,239,127,150,89,379,104,88,46,3,64,295,35,301,0
2015-02-01,55,310,4610,7854,1.460733384262796,11472.6,816,424,1011,2485,684,430,180,128,102,91,493,206,102,44,11,52,252,33,310,0
2015-03-01,41,277,5193,8646,1.796911866759195,15536.1,950,462,1231,2747,766,449,222,144,90,105,536,178,74,29,12,38,310,26,277,0
2015-04-01,93,257,5490,9399,1.8998510479838282,17856.7,1105,480,1284,2817,996,393,305,225,144,92,494,155,170,36,57,63,295,31,257,0
2015-05-01,137,297,5851,11091,1.3144080786223065,14578.1,1340,581,1380,3131,854,486,250,315,155,158,938,298,268,98,39,47,437,19,297,0
2015-06-01,74,323,6633,12000,1.6300750000000002,19560.9,1426,633,1625,3658,832,518,260,315,174,130,1057,371,179,44,30,90,291,44,322,1
2015-07-01,88,296,7249,12126,1.9251030842817087,23343.8,1230,682,1756,3860,1059,574,272,276,132,119,792,290,176,53,35,118,337,69,296,0
2015-08-01,42,530,6064,11189,1.3535615336491196,15145.0,1319,595,1244,3257,977,586,386,221,176,122,687,266,206,20,22,178,357,40,529,1
2015-09-01,158,480,10913,17834,1.560126724234608,27823.3,1942,668,2345,5856,2029,683,365,339,308,211,973,324,306,68,90,176,624,47,480,0
2015-10-01,117,434,6179,11651,1.2577632821217062,14654.199999999999,1434,574,1187,3388,1182,422,219,365,107,104,1024,302,260,78,39,60,409,63,434,0
2015-11-01,119,368,6267,11150,1.4479192825112106,16144.3,1379,555,1014,3708,1128,417,238,289,101,110,924,264,204,102,17,70,228,34,368,0
2015-12-01,88,312,5458,9804,1.4409118727050185,14126.7,1083,509,999,3101,887,471,219,262,99,73,810,221,154,49,39,156,317,43,308,4
2016-01-01,63,392,7397,12442,1.6165005626105127,20112.5,1362,670,1535,4339,1105,418,220,227,107,187,944,227,135,44,19,107,345,59,392,0
2016-02-01,197,462,7904,15753,1.169802577286866,18427.9,2307,879,1580,4468,1428,428,259,313,175,210,1802,272,315,116,81,196,421,41,460,2
2016-03-01,132,562,6190,11620,1.2703270223752152,14761.2,1487,646,960,3485,1173,572,228,271,130,118,950,226,214,88,44,77,353,36,557,5
2016-04-01,90,382,6623,11857,1.3125832841359535,15563.3,1389,584,1444,3542,1206,431,162,233,177,180,1057,229,108,45,45,158,440,45,373,9
2016-05-01,141,405,5769,11800,1.1248983050847456,13273.8,1705,616,944,3361,1014,450,230,354,202,176,1108,317,302,47,94,92,308,75,405,0
2016-06-01,140,549,6203,12513,1.0137696795332853,12685.3,1585,791,1088,3397,1267,451,218,323,157,203,1180,341,257,37,103,178,301,87,547,2
2016-07-01,259,522,4931,11186,0.7350616842481673,8222.4,1209,824,980,2519,1047,385,262,299,116,222,1476,320,243,120,139,70,390,43,522,0
2016-08-01,93,386,5240,10007,1.2653742380333766,12662.6,1229,633,875,2959,844,562,218,192,146,115,853,255,156,45,48,81,349,61,385,1
2016-09-01,109,300,6733,12396,1.4755727654081963,18291.2,1431,722,1323,3526,1400,484,188,318,103,194,1278,297,248,45,64,151,249,75,299,1
2016-10-01,141,333,6639,12015,1.5434873075322513,18545.0,1467,704,1155,3688,1243,553,339,237,139,97,987,300,287,69,72,94,205,46,330,3
2016-11-01,93,366,7402,13628,1.7431244496624596,23755.3,1747,950,1320,3750,1593,739,304,484,115,215,838,361,221,74,19,121,340,71,359,7
2016-12-01,187,467,7649,15539,1.1030439539223889,17140.2,1963,1164,1022,4173,1697,757,296,340,187,238,1529,472,426,158,29,173,355,93,467,0
2017-01-01,120,484,7203,14868,1.2989843960182943,19313.3,1979,1178,1167,3629,1588,819,354,463,126,286,1098,396,516,65,55,102,497,66,482,2
2017-02-01,139,383,6745,12424,1.3804169349645845,17150.3,1534,679,1096,3764,1324,561,273,284,135,215,1017,228,331,63,76,75,332,54,382,1
2017-03-01,2,0,203,281,3.42135231316726,961.4,13,12,9,73,15,106,10,1,6,4,10,12,4,0,2,4,0,0,0,0
2017-04-01,1,4,275,338,4.7887573964497046,1618.6000000000001,14,6,22,41,1,211,15,6,1,0,11,5,0,1,0,0,0,0,4,0
2017-05-01,0,3,194,288,2.476388888888889,713.2,21,2,5,61,24,104,8,3,3,3,14,7,6,0,0,3,21,0,3,0
2017-06-01,0,0,252,333,3.6882882882882884,1228.2,9,9,11,33,2,206,0,5,0,21,3,8,4,0,0,0,22,0,0,0
2017-07-01,2,7,299,438,3.2454337899543377,1421.5,6,9,13,46,26,214,3,6,5,0,9,4,75,0,2,11,1,1,7,0
2017-08-01,0,2,203,266,3.577067669172932,951.5,10,1,4,47,1,151,3,2,0,0,17,1,5,0,0,21,1,0,2,0
2017-09-01,0,3,177,268,3.79589552238806,1017.3000000000001,12,9,15,30,6,126,6,16,2,2,29,1,2,0,0,8,1,0,3,0
2017-10-01,0,0,149,208,3.7985576923076922,790.1,11,4,5,42,16,86,11,5,2,0,5,7,5,0,0,0,9,0,0,0
2017-11-01,0,4,104,146,3.662328767123288,534.7,16,2,16,20,16,52,2,10,0,0,2,0,2,0,0,2,2,0,4,0
2017-12-01,4,2,295,418,2.3394736842105264,977.9,35,28,28,171,34,62,4,16,0,0,12,0,14,0,4,6,0,2,2,0
2018-01-01,58,304,4189,8643,1.1542519958347797,9976.2,1201,458,574,2347,802,466,254,272,201,106,668,174,231,15,43,136,360,31,304,0
2018-02-01,36,267,4160,8256,1.252640503875969,10341.8,1081,495,596,2312,769,483,245,208,169,125,629,195,205,11,25,83,296,62,264,3
2018-03-01,99,456,7479,14241,1.45901973176041,20777.9,1746,966,1121,3641,1387,1330,275,345,184,220,1046,337,651,73,26,117,269,51,456,0
2018-04-01,77,680,8188,16475,1.6072412746585736,26479.3,2157,1371,1307,3685,1412,1784,387,495,180,190,1244,314,633,29,48,108,369,82,680,0
2018-05-01,95,319,10646,19494,1.8753513901713348,36558.1,2239,1178,2135,5443,1781,1287,370,799,261,283,1503,458,536,45,50,227,519,61,317,2
2018-06-01,82,584,7580,15059,1.3297762135599973,20025.1,1889,817,1195,3876,1218,1291,302,548,208,262,1128,284,548,41,41,253,528,46,579,5
2018-07-01,90,804,6885,14367,1.2032505046286628,17287.1,1784,867,1002,3018,1131,1734,373,395,233,212,1368,330,516,54,36,147,315,48,804,0
2018-08-01,113,547,6562,13940,1.1743472022955523,16370.4,1749,850,874,3347,1030,1311,368,355,250,156,1404,351,510,57,56,245,361,119,546,1
2018-09-01,88,586,6786,14876,0.923393385318634,13736.4,1769,912,1167,3229,982,1408,290,457,177,209,1374,341,734,61,27,494,512,147,585,1
2018-10-01,167,454,6522,14344,1.0196249302844396,14625.5,1938,783,1164,3115,1169,1074,317,419,307,205,1504,421,423,54,113,342,476,66,446,8
2018-11-01,61,473,6550,12954,1.351628840512583,17509.0,1739,748,1152,3560,987,851,276,402,140,168,1056,280,383,38,23,148,435,95,470,3
2018-12-01,90,523,7019,14687,1.0025873221216042,14725.0,1752,790,1486,3337,1252,944,258,395,207,338,1407,313,437,65,25,175,837,146,519,4
2019-01-01,74,509,7403,14033,1.292759923038552,18141.3,1582,718,1465,3933,1300,705,284,301,154,216,1247,311,440,37,37,160,557,77,509,0
2019-02-01,111,460,6585,12422,1.315947512477862,16346.7,1473,606,1399,3353,1222,611,255,324,131,160,882,333,370,78,33,320,375,37,458,2
2019-03-01,93,599,6493,13211,1.119256680039361,14786.5,1646,764,1176,3604,1040,673,344,319,195,193,1202,386,266,67,26,189,471,51,597,2
2019-04-01,88,466,6158,11911,1.146125430274536,13651.5,1483,658,1086,3484,984,604,276,188,197,126,913,312,383,46,42,164,425,74,464,2
2019-05-01,117,927,9732,20787,1.011593784576899,21028.0,2673,1145,1736,4766,1722,1508,484,553,289,322,1768,506,777,75,42,659,765,70,922,5
2019-06-01,137,791,7436,15846,0.8479931843998485,13437.3,1947,846,1353,3713,1339,1031,310,362,239,280,1437,348,592,84,53,456,596,69,776,15
2019-07-01,4,6,47,132,0.20075757575757575,26.5,15,0,5,35,0,7,8,3,8,6,13,0,0,4,0,8,14,0,6,0
2019-08-01,2,18,183,300,2.878,863.4,22,12,29,132,9,13,3,27,5,3,7,0,7,2,0,4,7,0,18,0
2019-09-01,140,435,7117,13323,1.3463409142085117,17937.3,1553,683,1212,3767,1197,941,248,231,135,167,1232,246,308,37,103,318,439,71,426,9
2019-10-01,107,324,6524,13653,1.4608730681901414,19945.3,1626,1495,1371,3194,1099,860,262,362,231,230,1045,271,222,72,35,407,484,63,321,3
2019-11-01,39,296,5580,11348,1.4410909411350017,16353.5,1500,735,1068,2674,1034,804,236,349,131,216,997,259,289,24,15,175,523,23,293,3
2019-12-01,48,424,5532,10536,1.49919324221716,15795.5,1188,609,1292,2378,1015,847,194,316,137,105,816,279,202,34,14,240,393,53,424,0
2020-01-01,31,387,11587,18712,1.6230493800769559,30370.5,1721,753,1952,7072,1589,974,373,309,309,159,741,280,393,21,10,1117,513,39,385,2
2020-02-01,45,555,12866,23088,0.9798120235620235,22621.899999999998,2164,949,1378,9532,1137,819,513,504,433,245,1108,400,504,24,21,1938,823,41,553,2
2020-03-01,58,561,7893,16914,0.829886484568996,14036.699999999999,2259,1254,968,5468,896,561,433,370,352,188,1632,374,303,40,18,526,644,67,559,2
2020-04-01,112,710,6324,16779,0.8504678467131533,14270.0,2336,1373,660,3787,1238,639,1142,437,259,284,2228,289,464,66,46,148,600,73,710,0
2020-05-01,114,961,5675,17822,0.25021883065873635,4459.4,2447,1487,1014,2808,1279,574,824,491,270,318,2997,498,548,64,50,410,700,82,957,4
2020-06-01,207,632,4999,13149,0.38578599133013913,5072.7,1875,988,811,2514,1046,628,326,321,168,211,1810,331,333,151,56,306,583,59,624,8
2020-07-01,286,772,5731,18112,-0.32667292402826853,-5916.7,2720,1181,902,2909,1220,700,301,460,357,288,2378,463,910,168,118,918,1256,91,772,0
2020-08-01,0,4,29,44,1.55,68.2,1,2,2,12,2,13,0,2,2,0,0,0,2,0,0,0,2,0,4,0
2020-09-01,2,13,45,156,0.5801282051282052,90.5,16,29,4,15,14,12,6,10,0,0,14,0,3,2,0,3,15,0,13,0
2020-10-01,61,385,3555,8375,0.5109253731343284,4279.0,1181,517,391,2103,752,309,197,202,86,128,1043,195,215,29,32,194,386,30,383,2
2020-11-01,32,228,2780,5992,0.8323097463284379,4987.2,753,384,359,1586,513,322,110,182,65,126,703,177,107,20,12,176,159,10,226,2
2020-12-01,0,6,40,105,-0.7333333333333333,-77.0,10,0,3,17,4,16,1,0,4,2,16,2,0,0,0,18,6,0,6,0
2021-01-01,86,369,3674,9251,0.580704788671495,5372.1,1339,574,516,1822,939,397,210,318,191,148,1126,222,285,54,32,292,378,39,367,2
2021-02-01,62,340,3118,7556,0.7646373742721017,5777.6,1131,491,446,1493,922,257,282,209,174,125,874,168,201,35,27,87,249,45,336,4
2021-03-01,134,823,6843,15268,0.4813793555148022,7349.7,2037,851,1098,4352,1048,345,314,356,138,244,1774,407,338,84,50,583,349,77,815,8
2021-04-01,50,477,3897,9035,0.612208079690094,5531.3,1292,582,551,2213,817,316,231,234,175,115,890,220,289,26,24,205,308,70,471,6
2021-05-01,68,403,3165,8152,0.7296614327772326,5948.2,1144,628,473,1717,612,363,435,207,120,128,944,262,171,41,27,159,265,53,392,11
2021-06-01,50,357,3551,8815,0.8206693136698808,7234.2,1217,711,403,2057,785,306,397,262,164,207,908,262,250,25,25,127,306,46,354,3
2021-07-01,65,427,3344,8744,0.44123970722781336,3858.2,1151,570,456,1950,647,291,368,253,143,226,1077,303,261,29,36,251,258,47,425,2
2021-08-01,32,225,2730,6253,0.9115464577003038,5699.9,816,471,385,1582,481,282,228,148,119,144,695,207,166,13,19,72,163,37,218,7
2021-09-01,73,276,3693,8644,0.7626677464136974,6592.5,1251,581,579,2038,800,276,228,278,120,193,912,278,276,31,42,122,318,45,274,2
2021-10-01,103,389,3865,9049,0.7925848160017682,7172.1,1364,584,589,1981,946,349,257,232,117,162,955,301,315,35,68,103,260,42,375,14
2021-11-01,94,360,4257,8852,1.1735878897424312,10388.6,1214,501,779,2063,1184,231,279,245,98,104,763,255,221,36,58,91,336,34,360,0
2021-12-01,43,339,3595,7987,0.8136596970076374,6498.7,1052,440,493,1912,862,328,286,156,96,133,844,209,222,16,27,260,288,24,339,0
2022-01-01,42,265,2519,5828,0.8285518188057653,4828.8,878,362,293,1373,615,238,198,173,94,60,534,197,177,24,18,146,166,17,265,0
2022-02-01,47,274,2554,5942,0.7393806799057556,4393.4,813,325,325,1270,676,283,209,158,69,95,676,170,187,33,14,84,240,41,266,8
