date,year_month,cny_vol,cny_mean,cny_obs
1990-01-01,1990-01,0.0,4.7339,20
1990-02-01,1990-02,0.0,4.7339,19
1990-03-01,1990-03,0.0,4.7339,22
1990-04-01,1990-04,0.0005302420081624452,4.7338523809523805,21
1990-05-01,1990-05,0.0,4.7339,22
1990-06-01,1990-06,0.0005302420081624452,4.733876190476191,21
1990-07-01,1990-07,0.0,4.7339,21
1990-08-01,1990-08,0.0,4.7339,23
1990-09-01,1990-09,0.006702488964856844,4.7342157894736845,19
1990-10-01,1990-10,0.0,4.7339,22
1990-11-01,1990-11,0.3665740136434968,4.971357894736842,19
1990-12-01,1990-12,0.0,5.2352,20
1991-01-01,1991-01,0.0,5.2352,21
1991-02-01,1991-02,0.0,5.2352,19
1991-03-01,1991-03,0.0,5.2352,18
1991-04-01,1991-04,0.03401170448960932,5.276719047619047,21
1991-05-01,1991-05,0.018018800093570632,5.325722727272727,22
1991-06-01,1991-06,0.008962212621195965,5.366721052631579,19
1991-07-01,1991-07,0.010949578507232157,5.369309523809524,21
1991-08-01,1991-08,0.01298399048774843,5.372490909090909,22
1991-09-01,1991-09,0.005075001668500394,5.386929411764705,17
1991-10-01,1991-10,0.014741085806573335,5.39169,20
1991-11-01,1991-11,0.009630824849774705,5.399421428571428,14
1991-12-01,1991-12,0.01426310503987335,5.423152380952381,21
1992-01-01,1992-01,0.01045748859873717,5.461819047619048,21
1992-02-01,1992-02,0.010233206275516436,5.477631578947369,19
1992-03-01,1992-03,0.009131862665992634,5.487127272727272,22
1992-04-01,1992-04,0.02371093208570079,5.509754545454546,22
1992-05-01,1992-05,0.015425530370016033,5.5181736842105265,19
1992-06-01,1992-06,0.008654276596411459,5.4893,22
1992-07-01,1992-07,0.02083487124469899,5.456369565217392,23
1992-08-01,1992-08,0.02364827177174855,5.4417,18
1992-09-01,1992-09,0.039281738567143766,5.504755,20
1992-10-01,1992-10,0.02063941156009088,5.5486,16
1992-11-01,1992-11,0.04938260728731714,5.613414285714286,14
1992-12-01,1992-12,0.07490199278240182,5.810627777777778,18
1993-01-01,1993-01,0.01108478802422944,5.779611764705883,17
1993-02-01,1993-02,0.02495789835284532,5.787433333333333,15
1993-03-01,1993-03,0.017298357494607435,5.745460869565218,23
1993-04-01,1993-04,0.014268283641937855,5.720176923076924,13
1993-05-01,1993-05,0.013971846652023041,5.739193333333333,15
1993-06-01,1993-06,0.024227202307661126,5.750368421052632,19
1993-07-01,1993-07,0.0,5.7756,21
1993-08-01,1993-08,0.01318786359969952,5.790622727272727,22
1993-09-01,1993-09,0.002984339423644631,5.8015380952380955,21
1993-10-01,1993-10,0.0,5.8013,20
1993-11-01,1993-11,0.011118622479083306,5.80858,20
1993-12-01,1993-12,0.006477946266826707,5.821008695652173,23
1994-01-01,1994-01,1.4392644175356903,8.721905,20
1994-02-01,1994-02,0.007828277911921755,8.724868421052632,19
1994-03-01,1994-03,0.005322436091610347,8.724134782608695,23
1994-04-01,1994-04,0.022878488275639156,8.725078947368422,19
1994-05-01,1994-05,0.018804036787706042,8.685909523809524,21
1994-06-01,1994-06,0.02393174360046915,8.683586363636364,22
1994-07-01,1994-07,0.01755643325684798,8.660505,20
1994-08-01,1994-08,0.011217631265385363,8.607226086956523,23
1994-09-01,1994-09,0.0021412422379075936,8.558142857142858,21
1994-10-01,1994-10,0.0006203540480856657,8.54917,20
1994-11-01,1994-11,0.0018603910401316472,8.53702,20
1994-12-01,1994-12,0.003078474420722506,8.503342857142858,21
1995-01-01,1995-01,0.0008228613987566553,8.460804999999999,20
1995-02-01,1995-02,0.0006948765411930203,8.455268421052631,19
1995-03-01,1995-03,0.005846810915339836,8.448291304347826,23
1995-04-01,1995-04,0.003161733521234628,8.442115,20
1995-05-01,1995-05,0.017042865461528726,8.337,22
1995-06-01,1995-06,0.002577356007239834,8.320595454545455,22
1995-07-01,1995-07,0.0011569634433238347,8.320744999999999,20
1995-08-01,1995-08,0.013436839767143775,8.325273913043478,23
1995-09-01,1995-09,0.008507861020701966,8.337439999999999,20
1995-10-01,1995-10,0.0009953013078033864,8.335347619047619,21
1995-11-01,1995-11,0.0005131768040636977,8.333442857142856,21
1995-12-01,1995-12,0.008903077797325899,8.335015,20
1996-01-01,1996-01,0.001375650897080004,8.3384,21
1996-02-01,1996-02,0.0021693302662451844,8.33375,20
1996-03-01,1996-03,0.0030406213261314607,8.349542857142856,21
1996-04-01,1996-04,0.0009519563469554095,8.35145,22
1996-05-01,1996-05,0.009204914930445425,8.347863636363636,22
1996-06-01,1996-06,0.001047921315514219,8.34236,20
1996-07-01,1996-07,0.003840572469728784,8.340931818181817,22
1996-08-01,1996-08,0.0004985629194006919,8.337922727272728,22
1996-09-01,1996-09,0.00043308302221103164,8.334109999999999,20
1996-10-01,1996-10,0.0013437167552774593,8.329904545454546,22
1996-11-01,1996-11,0.0013162053952141656,8.329394736842104,19
1996-12-01,1996-12,0.0007912050050151506,8.329014285714285,21
1997-01-01,1997-01,0.00027283651439396806,8.325966666666668,21
1997-02-01,1997-02,0.0031603618535435713,8.322742105263158,19
1997-03-01,1997-03,0.0008705606196530693,8.32575238095238,21
1997-04-01,1997-04,0.000766590400731275,8.325659090909092,22
1997-05-01,1997-05,0.0006778360282501066,8.32285238095238,21
1997-06-01,1997-06,0.005020709219489431,8.32237142857143,21
1997-07-01,1997-07,0.008875904255066997,8.316181818181818,22
1997-08-01,1997-08,0.013668259805822749,8.318680952380952,21
1997-09-01,1997-09,0.0008927622306695581,8.31707,20
1997-10-01,1997-10,0.00328651363765686,8.313486363636365,22
1997-11-01,1997-11,0.0003756936653508597,8.310894444444445,18
1997-12-01,1997-12,0.0005674305819759171,8.3099,22
