h,coef,se,n_obs,F_stat,lo90,hi90,lo95,hi95
0,-0.020385906898777915,0.03997203076854683,192,185.24571748036112,-0.08613989751303744,0.045368083715481615,-0.09873108720512969,0.05795927340757386
1,-0.052542403129824215,0.06935074927773466,192,185.24571748036112,-0.16662438569169774,0.0615395794320493,-0.18846987171418414,0.0833850654545357
2,-0.051073527802315014,0.09380892938950769,192,185.24571748036112,-0.20538921664805515,0.10324216104342514,-0.23493902940575007,0.13279197380112007
3,-0.04892456506494493,0.09936976991721072,192,185.24571748036112,-0.21238783657875654,0.1145387064488667,-0.2436893141026779,0.14584018397278808
4,-0.02725344620901124,0.10542443856808478,192,185.24571748036112,-0.2006766476535107,0.14616975523548822,-0.2338853458024574,0.17937845338443492
5,-0.041137913101298086,0.10468492421029209,191,183.67400675184638,-0.21334461342722857,0.13106878722463242,-0.24632036455347056,0.1640445383508744
6,-0.06873490096247684,0.1007272468514618,190,191.2383966572929,-0.2344312220331315,0.09696142010817782,-0.26616030479134195,0.12869050286638828
7,-0.07157442539549631,0.11619900998635352,189,192.52942135219809,-0.26272179682304786,0.11957294603205522,-0.2993244849687492,0.1561756341777566
8,0.03294497413248011,0.14033219980802125,189,192.52942135219809,-0.19790149455171485,0.26379144281667505,-0.24210613749124155,0.30799608575620174
9,-0.000726048582783213,0.14660016653171898,188,193.628456033856,-0.24188332252746095,0.2404312253618945,-0.2880623749849524,0.28661027781938603
10,-0.008671458242673553,0.14206267653147037,188,193.628456033856,-0.2423645611369423,0.22502164465159522,-0.28711430424435547,0.26977138775900833
11,0.06050709556973369,0.1520083525018771,188,193.628456033856,-0.18954664429585413,0.31056083543532154,-0.23742927533394545,0.35844346647341285
12,-0.01682415696102649,0.14783991465402174,188,193.628456033856,-0.26002081656689224,0.22637250264483927,-0.30659038968290914,0.2729420757608561
13,-0.03156370103001094,0.1413438471255088,188,193.628456033856,-0.2640743295514729,0.20094692749145102,-0.30859764139600815,0.24547023933598627
14,-0.09290759741512714,0.13699960351886362,188,193.628456033856,-0.31827194520365776,0.13245675037340351,-0.36142682031209983,0.17561162548184553
15,-0.05953061038219176,0.1523997556037685,188,193.628456033856,-0.31022820835039094,0.19116698758600742,-0.358234131365578,0.2391729106011945
16,-0.09425713635782658,0.16929182316692173,188,193.628456033856,-0.37274218546741283,0.1842279127517597,-0.4260691097649932,0.23755483704934005
17,-0.06178906768342931,0.18384044237496985,188,193.628456033856,-0.3642065953902547,0.24062846002339608,-0.4221163347383702,0.2985381993715116
18,0.028431741164281616,0.1723067728054766,188,193.628456033856,-0.2550129001007274,0.3118763824292906,-0.30928953353445254,0.36615301586301574
19,0.06756524688053209,0.15809761443104886,188,193.628456033856,-0.1925053288585433,0.32763582261960744,-0.24230607740432367,0.37743657116538787
20,0.1074453181423988,0.16510474306909248,188,193.628456033856,-0.16415198420625834,0.37904262049105597,-0.21615997827302244,0.43105061455782
21,0.11509669518402577,0.1825928527222642,188,193.628456033856,-0.18526854754409883,0.41546193791215036,-0.24278529615161204,0.47297868651966357
22,0.15847337002676015,0.17585833894245667,188,193.628456033856,-0.13081359753358107,0.4477603375871014,-0.1862089743004549,0.5031557143539752
23,0.1855639406012829,0.16233690170156043,188,193.628456033856,-0.08148026269778402,0.4526081439003498,-0.13261638673377552,0.5037442679363413
24,0.291849986012176,0.1709241939677101,187,193.53177010121544,0.010679686935292865,0.5730202850890591,-0.04316143416453583,0.6268614061888877
25,0.3521212627245047,0.21701582152172766,186,195.22389752494337,-0.00486976367873726,0.7091122891277467,-0.07322974745808147,0.7774722729070909
26,0.2640575375834024,0.17089297849181495,185,201.5062005671504,-0.017061412035633217,0.545176487202438,-0.07089270026055489,0.5990077754273597
27,0.3162812183805953,0.16144160640501748,184,200.3483908059682,0.050709775844341554,0.5818526609168491,-0.00014433017323894903,0.6327067669344295
28,0.21392827365082348,0.17492098187354482,183,200.50121311437243,-0.07381674153115778,0.5016732888328047,-0.12891685082132434,0.5567733981229713
29,0.10462633864865818,0.20512119443030102,183,200.50121311437243,-0.23279802618918705,0.4420507034865034,-0.29741120243473185,0.5066638797320482
30,0.05044683708965798,0.2112160973479991,182,200.96489436629128,-0.2970036430478005,0.39789731722711646,-0.36353671371242025,0.4644303878917362
31,0.018532879954768895,0.2542895625177591,181,199.46885940109124,-0.39977345038694484,0.4368392102964826,-0.4798746625800389,0.5169404224895767
32,0.08697293817226177,0.20854075022256235,180,198.16795850978176,-0.2560765959438533,0.4300224722883768,-0.32176693226396047,0.495712808608484
33,0.1944860178140654,0.1901821437350283,179,198.06825240614668,-0.1183636086300561,0.5073356442581869,-0.17827098390659005,0.5672430195347209
34,0.3336171119103336,0.19788605952288804,178,192.3792772170712,0.008094543995182779,0.6591396798254845,-0.05423956475452696,0.7214737885751942
35,0.2832801140521947,0.1930822724907937,177,198.59959933915334,-0.03434022419516092,0.6009004522995504,-0.09516114002976095,0.6617213681341504
36,0.145036698368996,0.19578748128055337,177,198.59959933915334,-0.17703370833751433,0.46710710507550635,-0.23870676494088863,0.5287801616788806
37,0.16875883416077767,0.18950630350145334,177,198.59959933915334,-0.14297903509911306,0.4804967034206684,-0.20267352070207087,0.5401911890236262
38,0.14615254125396526,0.18526554956105415,177,198.59959933915334,-0.15860928777396882,0.45091437028189935,-0.21696793588570085,0.5092730183936314
39,0.13958081303521896,0.19944955269484743,177,198.59959933915334,-0.18851370114780508,0.467675327218243,-0.251340310246682,0.53050193631712
40,0.07759908301251335,0.20553039464605583,176,220.62680973736713,-0.2604984161802485,0.41569658220527517,-0.3252404904937561,0.48043865651878276
41,-0.01222845042206243,0.2052248476126723,175,224.10509126636373,-0.34982332474490835,0.32536642390078346,-0.4144691517429001,0.3900122508987752
42,0.06432283846142883,0.19088289098408237,174,224.63432866535268,-0.24967951720738668,0.37832519413024435,-0.3098076278673726,0.43845330479023026
43,0.10585783420397592,0.1911715983196751,173,225.73130204066075,-0.20861944503188962,0.4203351134398415,-0.26883849850258723,0.4805541669105391
44,0.1557853695216711,0.1735232278525674,172,223.26052354031208,-0.1296603402958023,0.4412310793391445,-0.184320157069361,0.4958908961127032
45,0.13491937791106434,0.16580451602365606,172,223.26052354031208,-0.13782905094784986,0.40766780676997855,-0.19005747349530155,0.45989622931743024
46,0.09942914772101377,0.1549501542561977,172,223.26052354031208,-0.15546385603043147,0.35432215147245905,-0.20427315462113374,0.4031314500631613
47,0.062332676640578455,0.14706313059844908,172,223.26052354031208,-0.1795861731938703,0.3042515264750272,-0.22591105933238176,0.35057641261353867
48,-0.0578431121094764,0.14740205185402475,171,288.46896136178077,-0.3003194874093471,0.1846332631903943,-0.3467511337433649,0.2310649095244121
