h,coef,se,n_obs,F_stat,lo90,hi90,lo95,hi95
0,-0.023508719114454436,0.04078356233017301,190,103.00052167339489,-0.09059767914758904,0.04358024091868016,-0.10344450128159352,0.056427063052684655
1,-0.05822873251017784,0.06010798263574559,189,103.10006376299796,-0.15710636394597935,0.04064889892562366,-0.1760403784762392,0.05958291345588352
2,-0.12071203488064157,0.06567673574162794,188,104.84762249613425,-0.22875026517561953,-0.012673804585663612,-0.24943843693423234,0.008014367172949191
3,-0.1795604032026798,0.0772074493642187,187,164.20019047439348,-0.30656665740681954,-0.05255414899854005,-0.33088700395654846,-0.028233802448811157
4,-0.20646808117023754,0.07224844291431794,186,177.6487973994742,-0.3253167697642906,-0.08761939257618453,-0.3480750292823007,-0.0648611330581744
5,-0.2156817650694233,0.08949231604764726,186,177.6487973994742,-0.36289662496780306,-0.06846690517104354,-0.3910867045228119,-0.040276825616034656
6,-0.2643717952890343,0.09769466285845609,186,177.6487973994742,-0.4250795156911946,-0.10366407488687404,-0.45585333449160825,-0.07289025608646038
7,-0.21000839551703973,0.08531971967240623,186,177.6487973994742,-0.350359334378148,-0.06965745665593148,-0.37723504607495595,-0.04278174495912351
8,-0.18147409298520134,0.08779451257006007,185,178.22751634675257,-0.3258960661629502,-0.037052119807452516,-0.3535513376225191,-0.009396848347883596
9,-0.15495346445426297,0.0826477365654643,185,178.22751634675257,-0.2909089911044518,-0.01899793780407419,-0.316943028122573,0.007036099214047048
10,-0.1569839452405237,0.08711100514036334,184,179.3216250879529,-0.30028154869642143,-0.013686341784625994,-0.32772151531563587,0.013753624834588446
11,-0.12541497980020336,0.08644852713853282,183,179.7499633240314,-0.2676228069430898,0.01679284734268313,-0.2948540929917277,0.04402413339132097
12,-0.12758048690312007,0.08010900132497457,182,183.145605447948,-0.25935979408270327,0.004198820276463094,-0.28459412950007024,0.029433155693830093
13,-0.12679292942662346,0.09385071103642191,181,182.56471078243572,-0.28117734908153746,0.027591490228290577,-0.31074032305801036,0.05715446420476347
14,-0.14364281023543815,0.10958991065246063,180,182.02594908003198,-0.3239182132587359,0.036632592787859575,-0.358439035114261,0.07115341464338468
15,-0.09148427220473002,0.10144792750010131,179,183.07469104578902,-0.25836611294239664,0.07539756853293664,-0.2903222101049286,0.10735366569546856
16,-0.12333958493710494,0.09340059529086377,178,183.11490674105656,-0.27698356419057585,0.03030439431636596,-0.30640475170719794,0.05972558183298805
17,-0.12461157537810731,0.06930097976341527,177,182.93062575911787,-0.23861168708892544,-0.010611463667289184,-0.2604414957144012,0.011218344958186618
18,-0.04467714491250766,0.0639705779776293,176,182.50866167940046,-0.14990874568570786,0.06055445586069253,-0.17005947774866106,0.08070518792364575
