Period_dt,lwti,lpri,d2pri,llwip,dllgop,dl2lgop,vix,gs10,brent,gold,bdi,cny_usd,indpro,gpr_chn_l1,gpr_usa_l1,L1_lwti,L2_lwti,L3_lwti,L1_lpri,L2_lpri,n_events_total,n_events_kw,gpr_kw_share,gpr_cameo_share_appendix,d2gpr_kw,gpr_kw_z,d2gpr_kw_z,built_from,n_days_sampled,gpr_global
1990-02-01,2.8490794560394908,-0.7326682560454053,-0.2,4.1354656,-0.00921154,-0.005792618,23.34727278622714,8.21,0.0687954087855349,0.0017571694576172,-0.0121459845434861,0.0,-0.0050706327669249,0.2335204184055328,1.9214224815368648,,,,,,,,,,,,,gdelt1_raw_pilot,102,59.63557699585029
1990-03-01,2.764880238931396,-0.8088669356527773,0.1,4.1395245,0.0042176247,-0.00921154,23.262631767674492,8.47,-0.0700789296576851,0.0162050660765675,0.0267353346434306,0.0,0.0090406409731595,0.1696655750274658,1.915435075759888,2.8490794560394908,,,-0.7326682560454053,,,,,,,,,gdelt1_raw_pilot,102,50.71423041231948
1990-04-01,2.6683266462620705,-0.8088669356527773,0.1,4.1437383,0.014660835,0.0042176247,20.06227259202437,8.59,-0.074704797874237,-0.0586682105019624,0.0196384173595616,0.0,0.0049692029917487,0.1126301065087318,1.6040080785751345,2.764880238931396,2.8490794560394908,,-0.8088669356527773,-0.7326682560454053,,,,,,,,gdelt1_raw_pilot,102,59.21856593728268
1990-05-01,2.6480353855701897,-0.8088669356527773,0.0,4.1334424,-0.004463196,0.014660835,21.40349998474121,8.79,-0.1015270633537883,-0.049064969135971,0.0205391048505072,0.0,-0.0026232502058824,0.1515151560306549,1.961506962776184,2.6683266462620705,2.764880238931396,2.8490794560394908,-0.8088669356527773,-0.8088669356527773,,,,,,,,gdelt1_raw_pilot,102,62.0784202926265
1990-06-01,2.5640014339353754,-0.8088669356527773,0.0,4.1446,-0.009224892,-0.004463196,18.09772725538774,8.76,-0.0157647699127041,-0.0139651666198075,-0.003839159020087,0.0,0.003036903319729,0.1666931211948394,2.1114461421966557,2.6480353855701897,2.6683266462620705,2.764880238931396,-0.8088669356527773,-0.8088669356527773,,,,,,,,gdelt1_raw_pilot,102,52.670893515128206
1990-07-01,2.6589994665888077,-0.8088669356527773,0.0,4.148148,-0.01363039,-0.009224892,16.822380837940035,8.48,-0.0793568403718913,-0.0463638997966242,0.0741831756262207,0.0,0.0033858350269504,0.1825650334358215,1.9874694347381592,2.5640014339353754,2.6480353855701897,2.6683266462620705,-0.8088669356527773,-0.8088669356527773,,,,,,,,gdelt1_raw_pilot,102,59.61621687728501
1990-08-01,3.027663800899006,-0.8088669356527773,0.0,4.1479983,0.0017271042,-0.01363039,18.39285727909633,8.47,0.1281006749992825,0.0285389930716766,0.0715583346759647,0.0,-0.0017488731555337,0.19013012945652,1.9984790086746216,2.6589994665888077,2.5640014339353754,2.6480353855701897,-0.8088669356527773,-0.8088669356527773,,,,,,,,gdelt1_raw_pilot,102,187.9398581190895
1990-09-01,3.235699546820326,-0.8088669356527773,0.0,4.153455,-0.060423374,0.0017271042,28.175217255302098,8.75,0.4589066779660906,0.08509475738329,-0.1039916981548856,0.0,0.0034867499970046,0.5787994265556335,6.412270545959473,3.027663800899006,2.6589994665888077,2.5640014339353754,-0.8088669356527773,-0.8088669356527773,,,,,,,,gdelt1_raw_pilot,102,138.82184623106355
1990-10-01,3.293167973677838,-0.8088669356527773,0.0,4.15546,0.04376316,-0.060423374,29.10736836885151,8.89,0.2504407705000959,-0.0138003593161109,-0.0436242155066279,0.0,7.625111401843299e-05,0.3279777467250824,4.952878952026367,3.235699546820326,3.027663800899006,2.6589994665888077,-0.8088669356527773,-0.8088669356527773,,,,,,,,gdelt1_raw_pilot,102,110.35476534900332
1990-11-01,3.184638932108805,-0.7326682560454053,0.1,4.1547875,0.005701065,0.04376316,29.625652479088824,8.72,0.0316885851554333,-0.0222849000806499,-0.0095700968751772,0.0,-0.0058596531436769,0.2657599449157715,3.599484205245972,3.293167973677838,3.235699546820326,3.027663800899006,-0.8088669356527773,-0.8088669356527773,,,,,,,,gdelt1_raw_pilot,102,164.9151266103231
