Period_dt,gpr_hybrid,d2gpr_hybrid
2015-06-01,0.07472341051234593,-0.05643602731235057
2015-07-01,0.04698536112645718,-0.006061690756822502
2015-08-01,0.09367424703113088,0.07442693529056245
2015-09-01,0.0709752908338075,-0.06938784210199707
2015-10-01,0.05540347722342233,0.0071271425869381955
2015-11-01,0.0518013704597444,0.01196970684670725
2015-12-01,0.031022179163760585,-0.01717708453230589
2016-01-01,0.03541170203799899,0.02516871417022222
2016-02-01,0.07108124039692611,0.031280015484688714
2016-03-01,0.08442258106676757,-0.02232819768908565
2016-04-01,0.04062459535442241,-0.05713932638218665
2016-05-01,0.006270356146999898,0.009443746504922662
2016-06-01,0.09544436824410309,0.1235282513045257
2016-07-01,1.283908343879336e-10,-0.18461838021281546
2016-08-01,0.0576191308757295,0.15306349886305093
2016-09-01,0.04794091827529739,-0.06729734334777078
2016-10-01,0.1299036642943955,0.09164095861953023
2016-11-01,0.07021548656139744,-0.1416509237520962
2016-12-01,0.10814597694732568,0.09761866811892632
2017-01-01,0.1514728309180515,0.005396363584797573
2017-02-01,0.06854225998149575,-0.12625742490728153
2017-03-01,0.1242950346975062,0.13868334565256618
2017-04-01,0.0776555441233738,-0.10239226529014285
2017-05-01,0.12978357249506506,0.09876751894582365
2017-06-01,0.08133269717440739,-0.10057890369234893
2017-07-01,0.1181990023834784,0.08531718052972868
2017-08-01,0.10773380222346354,-0.04733150536908587
2017-12-01,0.0792076854228436,0.022001187907408903
2018-01-01,0.14714559433537575,0.09764111457879747
2018-02-01,0.09504285472776745,-0.12004064852014043
2018-03-01,0.1757536314366285,0.13281351631646934
2018-04-01,0.18286815261921566,-0.0735962555262739
2018-05-01,0.09951447190015794,-0.09046820190164487
2018-06-01,0.1946586236746447,0.17849783249354448
2018-07-01,0.10546691988920327,-0.1843358555599282
2018-08-01,0.1384182163826923,0.12214300027893046
2018-09-01,0.07452793503026987,-0.09684157784591145
2018-10-01,0.11245763185003396,0.10181997817218652
2018-11-01,0.10619573868595966,-0.04419158998383839
2018-12-01,0.11785910096268147,0.01792525544079611
2019-01-01,0.12019317912453059,-0.009329284114872688
2019-02-01,0.06134688500459287,-0.06118037228178684
2019-03-01,0.08726888949912091,0.08476829861446576
2019-04-01,0.11447318298933405,0.0012822889956850964
2019-05-01,0.1012297526309006,-0.0404477238486466
2019-06-01,0.07766456399552231,-0.010321758276944842
2019-07-01,0.06813542573668771,0.014036050376543693
2019-08-01,0.06948511746839997,0.01087882999054686
2019-09-01,0.10720212338557208,0.036367314185459854
2019-10-01,0.14099629266784816,-0.0039228366348960375
2019-11-01,0.08122393964932244,-0.09356652230080179
2019-12-01,0.04224111910229732,0.020789532471500602
2020-01-01,0.13867273947696296,0.13541444092169075
2020-02-01,0.11034862033910202,-0.12475573951252657
2020-03-01,0.16053400073433946,0.07850949953309838
2020-04-01,0.24298500481597513,0.03226562368639822
2020-05-01,0.26470495995274035,-0.06073104894487044
2020-06-01,0.15718563281632486,-0.1292392822731807
2020-07-01,0.21674162217795323,0.16707531649804386
2020-08-01,0.11465497259247186,-0.16164263894710973
2020-09-01,0.11271385962348694,0.10014553661649646
2020-10-01,0.08961914175978071,-0.021153604894721303
2020-11-01,0.1504694436824566,0.08394501978638212
2020-12-01,0.11530221774437319,-0.0960175278607593
2021-01-01,0.11548349677137097,0.0353485049650812
2021-02-01,0.1002214349417408,-0.015443340856627963
2021-03-01,0.1935885122074705,0.10862913909535989
2021-04-01,0.10622460581891399,-0.18073098365428625
2021-05-01,0.13015800149447113,0.11129730206411365
2021-06-01,0.17352452751888048,0.019433130348852218
2021-07-01,0.18946926783213086,-0.02742178571115897
2021-08-01,0.08917583275572422,-0.11623817538965703
2021-09-01,0.08726001549320657,0.098377617813889
2021-10-01,0.12503264460820487,0.03968844637751595
2021-11-01,0.11052949918691822,-0.052275774536284944
2021-12-01,0.04637871427826445,-0.04964763948736711
2022-01-01,0.24498649606392614,0.26275856669431547
2022-02-01,0.1362268784636052,-0.3073673993859826
