,n_events_total,n_events_kw,n_events_with_url,pct_events_with_url,gpr_hybrid_share,gpr_url_share,gpr_nourl_cameo_share,gpr_kw_share,d2gpr_kw
1990-01-01,70.0,0.0,0.0,0.0,,,0.05714285714285714,,
1990-02-01,86.0,0.0,0.0,0.0,,,0.011627906976744186,,
1990-03-01,78.0,0.0,0.0,0.0,,,0.02564102564102564,,
1990-04-01,60.0,0.0,0.0,0.0,,,0.08333333333333333,,
1990-05-01,106.0,0.0,0.0,0.0,,,0.03773584905660377,,
1990-06-01,101.0,0.0,0.0,0.0,,,0.04950495049504951,,
1990-07-01,87.0,0.0,0.0,0.0,,,0.022988505747126436,,
1990-08-01,48.0,0.0,0.0,0.0,,,0.041666666666666664,,
1990-09-01,39.0,0.0,0.0,0.0,,,0.02564102564102564,,
1990-10-01,45.0,0.0,0.0,0.0,,,0.022222222222222223,,
1990-11-01,111.0,0.0,0.0,0.0,,,0.036036036036036036,,
1990-12-01,87.0,0.0,0.0,0.0,,,0.12643678160919541,,
1991-01-01,40.0,3.0,0.0,0.0,0.075,,0.075,0.075,
1991-02-01,22.0,0.0,0.0,0.0,0.0,,0.0,0.0,
1991-03-01,125.0,3.0,0.0,0.0,0.024,,0.024,0.024,0.099
1991-04-01,134.0,6.0,0.0,0.0,0.04477611940298507,,0.04477611940298507,0.04477611940298507,-0.003223880597014929
1991-05-01,221.0,9.0,0.0,0.0,0.04072398190045249,,0.04072398190045249,0.04072398190045249,-0.024828256905517654
1991-06-01,192.0,7.0,0.0,0.0,0.036458333333333336,,0.036458333333333336,0.036458333333333336,-0.00021351106458657176
1991-07-01,139.0,8.0,0.0,0.0,0.05755395683453238,,0.05755395683453238,0.05755395683453238,0.025361272068318196
1991-08-01,102.0,1.0,0.0,0.0,0.00980392156862745,,0.00980392156862745,0.00980392156862745,-0.06884565876710397
1991-09-01,129.0,11.0,0.0,0.0,0.08527131782945736,,0.08527131782945736,0.08527131782945736,0.12321743152673484
1991-10-01,160.0,1.0,0.0,0.0,0.00625,,0.00625,0.00625,-0.15448871409028728
1991-11-01,353.0,18.0,0.0,0.0,0.05099150141643059,,0.05099150141643059,0.05099150141643059,0.12376281924588796
1991-12-01,181.0,5.0,0.0,0.0,0.027624309392265192,,0.027624309392265192,0.027624309392265192,-0.06810869344059599
1992-01-01,207.0,4.0,0.0,0.0,0.01932367149758454,,0.01932367149758454,0.01932367149758454,0.015066554129484752
1992-02-01,101.0,8.0,0.0,0.0,0.07920792079207921,,0.07920792079207921,0.07920792079207921,0.06818488718917531
1992-03-01,44.0,2.0,0.0,0.0,0.045454545454545456,,0.045454545454545456,0.045454545454545456,-0.09363762463202842
1992-04-01,76.0,6.0,0.0,0.0,0.07894736842105263,,0.07894736842105263,0.07894736842105263,0.06724619830404092
1992-05-01,194.0,9.0,0.0,0.0,0.04639175257731959,,0.04639175257731959,0.04639175257731959,-0.06604843881024021
1992-06-01,93.0,6.0,0.0,0.0,0.06451612903225806,,0.06451612903225806,0.06451612903225806,0.05067999229867151
1992-07-01,58.0,1.0,0.0,0.0,0.017241379310344827,,0.017241379310344827,0.017241379310344827,-0.0653991261768517
1992-08-01,64.0,10.0,0.0,0.0,0.15625,,0.15625,0.15625,0.1862833704115684
1992-09-01,186.0,9.0,0.0,0.0,0.04838709677419355,,0.04838709677419355,0.04838709677419355,-0.2468715239154616
1992-10-01,89.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.059475806451612906
1992-11-01,130.0,2.0,0.0,0.0,0.015384615384615385,,0.015384615384615385,0.015384615384615385,0.06377171215880893
1992-12-01,174.0,5.0,0.0,0.0,0.028735632183908046,,0.028735632183908046,0.028735632183908046,-0.0020335985853227254
1993-01-01,79.0,9.0,0.0,0.0,0.11392405063291139,,0.11392405063291139,0.11392405063291139,0.07183740164971068
1993-02-01,49.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.19911246908191474
1993-03-01,85.0,6.0,0.0,0.0,0.07058823529411765,,0.07058823529411765,0.07058823529411765,0.18451228592702903
1993-04-01,61.0,10.0,0.0,0.0,0.16393442622950818,,0.16393442622950818,0.16393442622950818,0.022757955641272892
1993-05-01,258.0,8.0,0.0,0.0,0.031007751937984496,,0.031007751937984496,0.031007751937984496,-0.22627286522691423
1993-06-01,77.0,2.0,0.0,0.0,0.025974025974025976,,0.025974025974025976,0.025974025974025976,0.12789294832756518
1993-07-01,146.0,15.0,0.0,0.0,0.10273972602739725,,0.10273972602739725,0.10273972602739725,0.0817994260173298
