,d2gpr_kw
1990-01-01,
1990-02-01,
1990-03-01,
1990-04-01,
1990-05-01,
1990-06-01,
1990-07-01,
1990-08-01,
1990-09-01,
1990-10-01,
1990-11-01,
1990-12-01,
1991-01-01,
1991-02-01,
1991-03-01,0.099
1991-04-01,-0.003223880597014929
1991-05-01,-0.024828256905517654
1991-06-01,-0.00021351106458657176
1991-07-01,0.025361272068318196
1991-08-01,-0.06884565876710397
1991-09-01,0.12321743152673484
1991-10-01,-0.15448871409028728
1991-11-01,0.12376281924588796
1991-12-01,-0.06810869344059599
1992-01-01,0.015066554129484752
1992-02-01,0.06818488718917531
1992-03-01,-0.09363762463202842
1992-04-01,0.06724619830404092
1992-05-01,-0.06604843881024021
1992-06-01,0.05067999229867151
1992-07-01,-0.0653991261768517
1992-08-01,0.1862833704115684
1992-09-01,-0.2468715239154616
1992-10-01,0.059475806451612906
1992-11-01,0.06377171215880893
1992-12-01,-0.0020335985853227254
1993-01-01,0.07183740164971068
1993-02-01,-0.19911246908191474
1993-03-01,0.18451228592702903
1993-04-01,0.022757955641272892
1993-05-01,-0.22627286522691423
1993-06-01,0.12789294832756518
1993-07-01,0.0817994260173298
1993-08-01,-0.08544602014017447
1993-09-01,0.02573202525732024
1993-10-01,-0.09631568252366637
1993-11-01,0.11376755449566148
1993-12-01,-0.009111168776931043
1994-01-01,-0.10952131443366662
1994-02-01,0.11016853902396212
1994-03-01,-0.0011076205238641727
1994-04-01,-0.018191237852041874
1994-05-01,-0.0558511915295835
1994-06-01,0.1064236124981026
1994-07-01,-0.09616052638834006
1994-08-01,0.014860437080770311
1994-09-01,0.054336482712707676
1994-10-01,-0.049030147820634404
1994-11-01,0.015455097595471898
1994-12-01,0.06221170529067368
1995-01-01,-0.06664144536142064
1995-02-01,-0.028916292230690477
1995-03-01,0.01260696332266368
1995-04-01,0.037615661076248946
1995-05-01,0.020867939048850564
1995-06-01,-0.04866700145391508
1995-07-01,0.00042704999710043573
1995-08-01,0.01032468541078694
1995-09-01,0.002598896635120227
1995-10-01,0.0019459651957339508
1995-11-01,-0.0029421725890759094
1995-12-01,0.034762440287497004
1996-01-01,-0.026567852734663895
1996-02-01,-0.002342009070438772
1996-03-01,-0.014961485216350282
1996-04-01,0.018796326162109314
1996-05-01,-0.030043199994406793
1996-06-01,0.014602838228771918
1996-07-01,0.017313877601569924
1996-08-01,-0.012178268803496754
1996-09-01,0.010725408284560659
1996-10-01,-0.010811621853065397
1996-11-01,0.01432830899788929
1996-12-01,-0.026510197137228624
1997-01-01,0.013479723523297522
1997-02-01,0.017341891484955553
1997-03-01,-0.035556602501066244
1997-04-01,0.023103765036017195
1997-05-01,-0.020060407673284632
1997-06-01,0.046666720562605526
1997-07-01,-0.0393841210065774
1997-08-01,-0.014919381901752495
1997-09-01,0.034652515942838524
1997-10-01,-0.00459364374709233
1997-11-01,-0.02501978186592599
1997-12-01,0.008389796639204826
1998-01-01,0.035627362681797906
1998-02-01,-0.034243906735517776
1998-03-01,0.009207374685102729
1998-04-01,0.0014335004852005957
1998-05-01,0.028663086535002373
1998-06-01,-0.050760442349435914
1998-07-01,0.01639032433749625
1998-08-01,-0.005509649546639503
1998-09-01,0.04387708669982083
1998-10-01,-0.05111950162351428
1998-11-01,0.01980362836103039
1998-12-01,-0.0038329219100042694
1999-01-01,0.024870103849782936
1999-02-01,-0.04678910185779159
1999-03-01,0.04264711748020053
1999-04-01,-0.03603183386600741
1999-05-01,0.026567631552642336
1999-06-01,-0.02506557634276222
1999-07-01,0.019443931987221837
1999-08-01,0.012991763350331406
1999-09-01,-0.04770626418882691
1999-10-01,0.04209720783915278
1999-11-01,-0.033184836244222235
1999-12-01,0.03485062468646266
2000-01-01,-0.014603057110447615
2000-02-01,0.031563812468280106
2000-03-01,-0.012599315837570686
2000-04-01,-0.032729679599498324
2000-05-01,-0.015127014370106884
2000-06-01,0.036313791772503594
2000-07-01,0.018861315225192493
2000-08-01,-0.07893451238872945
2000-09-01,0.08726633803685264
2000-10-01,-0.047183668080471336
2000-11-01,0.005876424264165764
2000-12-01,0.04086561506751327
2001-01-01,-0.037863825106096996
2001-02-01,-0.012503316071223305
2001-03-01,0.019704935084180898
2001-04-01,0.02171098079656364
2001-05-01,-0.04839971845325978
2001-06-01,0.021411268151443993
2001-07-01,-0.02562464469831694
2001-08-01,0.03711004781730079
2001-09-01,0.0563794326733939
2001-10-01,-0.1003253164421947
2001-11-01,0.0434773505985062
2001-12-01,-0.03319705605831737
2002-01-01,0.03889688070960191
2002-02-01,-0.018142609063979846
2002-03-01,-0.006511795604634919
2002-04-01,-0.006289173890557456
2002-05-01,0.017649256689971242
2002-06-01,0.015926143797800305
2002-07-01,-0.013328991513124652
2002-08-01,0.018669466451346033
2002-09-01,-0.0649433427825467
2002-10-01,0.08712777341136935
2002-11-01,-0.05555425547613753
2002-12-01,0.02585901502025441
2003-01-01,-0.008146186136044994
2003-02-01,0.004553825285756055
2003-03-01,-0.01579305722888215
2003-04-01,-0.03337157232331879
2003-05-01,0.041380127997058376
2003-06-01,-0.01963300020433089
2003-07-01,0.03192838605060489
2003-08-01,-0.038712993713427485
2003-09-01,0.05291486671345204
2003-10-01,-0.03609700230358734
2003-11-01,-0.008377344429194515
2003-12-01,0.04154714969108391
2004-01-01,-0.06237011997917753
2004-02-01,0.03860914462542339
2004-03-01,0.010522298145459165
2004-04-01,0.017568329480222827
2004-05-01,-0.01081489935434949
2004-06-01,-0.05316667119391641
2004-07-01,0.021417401249120324
2004-08-01,-0.015012151303135532
2004-09-01,0.053164540674933085
2004-10-01,-0.015555964653902792
2004-11-01,-0.04196428571428572
2004-12-01,0.03587848932676519
2005-01-01,0.02764094143404488
2005-02-01,-0.020185521274450495
2005-03-01,0.024042564188803066
2005-04-01,-0.08008721324762665
2005-05-01,0.02795443534560066
2005-06-01,0.04554090801338305
2005-07-01,-0.05202920742219502
2005-08-01,0.015107300079016936
2005-09-01,-0.0052118570278845006
2005-10-01,0.019474877945642566
2005-11-01,0.006285336066347194
2005-12-01,-0.037983471805732374
2006-01-01,0.040411592776049034
2006-02-01,-0.015403330202732886
2006-03-01,0.008556781411641831
2006-04-01,-0.03373117362819426
2006-05-01,0.043231463394192586
2006-06-01,-0.02292931054819642
2006-07-01,0.026792411434767675
2006-08-01,-0.04496163307277218
2006-09-01,0.01698923519888694
2006-10-01,0.026116890790194427
2006-11-01,-0.04014098786830836
2006-12-01,0.036466631331345735
2007-01-01,-0.025904291831482497
2007-02-01,0.0051268385098115765
2007-03-01,0.052323769194494066
2007-04-01,-0.018537310215955262
2007-05-01,-0.04723203442823255
2007-06-01,-0.02702854349120437
2007-07-01,0.018225547468042183
2007-08-01,0.033390388389761355
2007-09-01,-0.004793946890256792
2007-10-01,-0.0034962351096751304
2007-11-01,0.002675881334379418
