,n_events_total,n_events_kw,gpr_kw_share,gpr_cameo_share_appendix,d2gpr_kw,gpr_kw_z,d2gpr_kw_z,built_from,n_days_sampled
2014-03-01,121.0,5.0,0.04132231404958678,0.15702479338842976,-0.009959737232464488,-0.8772412458499949,-0.17245304851468748,gdelt1_raw_pilot,102
2014-04-01,285.0,17.0,0.05964912280701754,0.09473684210526316,0.048799366502715776,-0.5599121872617139,0.8449620027672617,gdelt1_raw_pilot,102
2014-05-01,241.0,19.0,0.07883817427385892,0.06639004149377593,0.0008622427094106128,-0.2276533789896022,0.014929749683830651,gdelt1_raw_pilot,102
2014-06-01,274.0,14.0,0.051094890510948905,0.06569343065693431,-0.0469323352297514,-0.7080288898139959,-0.8126343190965054,gdelt1_raw_pilot,102
2014-07-01,293.0,20.0,0.06825938566552901,0.11604095563139932,0.04490777891749012,-0.4108253144049621,0.7775790862334275,gdelt1_raw_pilot,102
2014-08-01,179.0,17.0,0.09497206703910614,0.11173184357541899,0.009548186218997022,0.05170529552509366,0.16532703452102193,gdelt1_raw_pilot,102
2014-09-01,205.0,8.0,0.03902439024390244,0.05365853658536585,-0.08266035816878083,-0.9170298423054335,-1.4312657477605828,gdelt1_raw_pilot,102
2014-10-01,424.0,17.0,0.04009433962264151,0.05188679245283019,0.05701762617394277,-0.8985036475059859,0.9872613326299747,gdelt1_raw_pilot,102
2014-11-01,213.0,3.0,0.014084507042253521,0.04225352112676056,-0.02707978195912706,-1.3488644165856978,-0.4688869638791595,gdelt1_raw_pilot,102
2014-12-01,271.0,2.0,0.007380073800738007,0.08487084870848709,0.019305399338872473,-1.4649518116721707,0.334273373993239,gdelt1_raw_pilot,102
2015-01-01,157.0,0.0,0.0,0.012738853503184714,-0.0006756405592224929,-1.59273793649604,-0.011698729737396274,gdelt1_raw_pilot,102
2015-02-01,164.0,0.0,0.0,0.07926829268292683,0.007380073800738007,-1.59273793649604,0.1277861248238692,gdelt1_raw_pilot,102
2015-03-01,97.0,8.0,0.08247422680412371,0.030927835051546393,0.08247422680412371,-0.164695057021047,1.4280428794749929,gdelt1_raw_pilot,102
2015-04-01,450.0,64.0,0.14222222222222222,0.035555555555555556,-0.022726231386025197,0.869842673443059,-0.39350514901088696,gdelt1_raw_pilot,102
2015-05-01,252.0,19.0,0.07539682539682539,0.06349206349206349,-0.12657339224349534,-0.2872404033252007,-2.1916208072323657,gdelt1_raw_pilot,102
2015-06-01,478.0,33.0,0.06903765690376569,0.05439330543933055,0.06046622833233713,-0.3973495324166852,1.0469739476767752,gdelt1_raw_pilot,102
2015-07-01,415.0,33.0,0.07951807228915662,0.04096385542168675,0.016839583878450637,-0.215880931315482,0.2915777301926877,gdelt1_raw_pilot,102
2015-08-01,159.0,23.0,0.14465408805031446,0.06918238993710692,0.0546556003757669,0.9119504786837629,0.9463628088980418,gdelt1_raw_pilot,102
2015-09-01,474.0,65.0,0.1371308016877637,0.07383966244725738,-0.0726593021237086,0.7816846255002232,-1.2580972631827845,gdelt1_raw_pilot,102
2015-10-01,475.0,23.0,0.04842105263157895,0.042105263157894736,-0.081186462693634,-0.7543264459411164,-1.4057452182577999,gdelt1_raw_pilot,102
2015-11-01,226.0,0.0,0.0,0.04424778761061947,0.04028869642460581,-1.59273793649604,0.6975995808864162,gdelt1_raw_pilot,102
2015-12-01,366.0,11.0,0.030054644808743168,0.030054644808743168,0.07847569744032212,-1.0723411631354465,1.3588082639155172,gdelt1_raw_pilot,102
