,n_events,sum_weights,n_hits,gpr_weighted,gpr_roll_mean,gpr_roll_std,gpr_surprise,d2gpr_surprise,d2gpr_weighted,gpr_pct_rank,gpr_pct_surprise,gpr_ma6,d1gpr_ma6,gpr_abs_dev,d2gpr_abs_dev
1990-01-01,70.0,10.0,0,0.14285714285714285,,,,,,,,,,,
1990-02-01,86.0,3.0,0,0.03488372093023256,,,,,,,,,,,
1990-03-01,78.0,6.0,0,0.07692307692307693,,,,,0.15001277791975465,,,0.08488798023681744,,,
1990-04-01,60.0,9.0,0,0.15,,,,,0.031037567084078697,,,0.10116598517761308,0.016278004940795635,,
1990-05-01,106.0,12.0,0,0.11320754716981132,,,,,-0.10986937590711174,,,0.10357429757605274,0.002408312398439666,,
1990-06-01,101.0,15.0,0,0.1485148514851485,0.11106438989423535,0.046696926337707646,0.8019898637455289,,0.07209975714552586,,,0.11106438989423535,0.007490092318182609,,
1990-07-01,87.0,4.0,0,0.04597701149425287,0.10176619297995215,0.04921752095363919,-1.1335227862908885,,-0.13784514430623282,,,0.09491770133375371,-0.01614668856048164,,
1990-08-01,48.0,4.0,0,0.08333333333333333,0.09946208552412479,0.0460302466371522,-0.35039465067244563,2.7186407856548604,0.1398941618299761,,,0.10299263673427049,0.008074935400516778,,
1990-09-01,39.0,3.0,0,0.07692307692307693,0.09695775123511947,0.043707903940502786,-0.458376460681223,-0.8911099456272202,-0.04376657824933686,,,0.10299263673427049,0.0,,
1990-10-01,45.0,3.0,0,0.06666666666666667,0.0939286427782742,0.042306870677727454,-0.6443864950276189,-0.07802822433761852,-0.0038461538461538602,,,0.08910374784538161,-0.013888888888888881,,
1990-11-01,111.0,4.0,0,0.036036036036036036,0.08866567852897982,0.04376723541041423,-1.2024895335386154,-0.3720930041646006,-0.020374220374220375,,,0.07624182932308572,-0.012861918522295887,,
1990-12-01,87.0,29.0,0,0.3333333333333333,0.10905464976267594,0.08203627162672208,2.733896593828162,4.494489165877774,0.3279279279279279,1.0,0.5,0.10704490963111653,0.030803080308030806,2.733896593828162,
1991-01-01,40.0,9.0,3,0.225,0.11589988785791405,0.08830107421040959,1.2355468279141775,-5.434735893280761,-0.4056306306306306,0.9166666666666666,0.41666666666666663,0.1368820743820744,0.029837164750957865,1.2610369536934567,
1991-02-01,22.0,0.0,0,0.0,0.112992911113728,0.09171875752942851,-1.2319498667159066,-0.9691469287160994,-0.1166666666666667,0.0,-0.5,0.1229931854931855,-0.013888888888888895,-1.2530278618810033,-1.0412051754397549
1991-03-01,125.0,8.0,3,0.064,0.11191598803680491,0.09225507650543306,-0.5193859227246216,3.1800606386213692,0.28900000000000003,0.2857142857142857,-0.2142857142857143,0.12083933933933934,-0.002153846153846159,-0.4997554498744883,3.267337227580975
1991-04-01,134.0,18.0,6,0.13432835820895522,0.11061001788755119,0.09177662914252396,0.2584355139538932,0.0652574926872298,0.00632835820895522,0.6666666666666666,0.16666666666666663,0.13211628792972077,0.011276948590381433,0.3162213753856683,0.06270441325364162
1991-05-01,221.0,27.0,9,0.12217194570135746,0.11135705109851336,0.09183615872222378,0.11776292424812583,-0.9184940263842821,-0.08248477071655297,0.625,0.125,0.14647227287394102,0.014355984944220246,0.16395428300368123,-0.9682439176421437
1991-06-01,192.0,15.0,7,0.078125,0.10549123014141766,0.09149438798588141,-0.29910282743943345,-0.2761931619817919,-0.0318905331937597,0.47058823529411764,-0.02941176470588236,0.1039375506517188,-0.042534722222222224,-0.37524204345017353,-0.38692923407186763
1991-07-01,139.0,16.0,8,0.11510791366906475,0.11125213865598532,0.08956243882949166,0.0430512507639506,0.7590198298909433,0.08102985937042222,0.6111111111111112,0.11111111111111116,0.08562220292989624,-0.018315347721822556,0.09709277418498707,1.0115311440890153
1991-08-01,102.0,3.0,1,0.029411764705882353,0.10675867460369771,0.0923982621970235,-0.8371035131903921,-1.2223088421577268,-0.12267906263224715,0.05263157894736842,-0.4473684210526316,0.09052416371420996,0.004901960784313722,-0.982661091750812,-1.5520886835709595
1991-09-01,129.0,27.0,11,0.20930232558139536,0.11779027865855761,0.09633110959692688,0.9499739731613881,2.667232250306123,0.2655867098386954,0.9,0.4,0.11474121797777587,0.024217054263565907,1.298890909634128,3.361305867320739
1991-10-01,160.0,2.0,1,0.0125,0.11327638976966871,0.10013827993875224,-1.006372286714998,-3.7434237462281663,-0.37669288645690835,0.047619047619047616,-0.4523809523809524,0.09443649160961665,-0.02030472636815922,-1.1760793730246941,-4.756522284043761
1991-11-01,353.0,46.0,18,0.13031161473087818,0.12113268799423889,0.0971820670808021,0.09445082835094946,3.057169374942333,0.3146139403122735,0.6818181818181818,0.18181818181818177,0.09579310311453677,0.0013566115049201272,0.3225321506546528,3.973581806338169
1991-12-01,181.0,13.0,5,0.0718232044198895,0.0993401772514519,0.07108972869001526,-0.3870738197855471,-1.582347763202444,-0.17630002504186687,0.34782608695652173,-0.15217391304347827,0.09474280385118504,-0.0010502992633517338,-0.4303079903231936,-2.2514516646571936
1992-01-01,207.0,10.0,4,0.04830917874396135,0.08461594214678202,0.0601538779373243,-0.6035648016018105,0.26503366632023323,0.03497438463506053,0.2608695652173913,-0.2391304347826087,0.0836096813636678,-0.011133122487517244,-0.7202260343339242,0.46292209696711584
1992-02-01,101.0,22.0,8,0.21782178217821782,0.10276775732830017,0.06497094228846995,1.770853566184705,2.5909093496027786,0.19302662911018462,0.9130434782608695,0.4130434782608695,0.11501135094239039,0.03140166957872259,1.4573220895017553,2.46746616784641
1992-03-01,44.0,6.0,2,0.13636363636363635,0.10879806035860319,0.06440131716934494,0.42802814005416634,-3.7172437939170537,-0.25097074924883794,0.7391304347826086,0.23913043478260865,0.10285490273943054,-0.012156448202959844,0.38356176923454044,-3.2513084441028948
1992-04-01,76.0,7.0,6,0.09210526315789473,0.10527946910434816,0.06403203299322091,-0.20574398985345632,0.7090532962229159,0.03719977260883986,0.5217391304347826,0.021739130434782594,0.11612244659907967,0.013267543859649122,-0.20141507040295115,0.4887834806297233
1992-05-01,194.0,22.0,9,0.1134020618556701,0.10454864545054088,0.06387155096581235,0.13861282951885845,0.9781289492799374,0.06555517190351699,0.5652173913043478,0.06521739130434778,0.11330418778654498,-0.0028182588125346825,0.08555963284803247,0.8719515428884752
1992-06-01,93.0,16.0,6,0.17204301075268819,0.11237514634659823,0.06605614427680165,0.9032901489989751,0.42032050010780186,0.03734415019924271,0.8260869565217391,0.32608695652173914,0.13000748884201144,0.016703301055466455,0.8678556020195423,0.49532126592052617
1992-07-01,58.0,3.0,1,0.05172413793103448,0.10709316503509571,0.0683133429330539,-0.8105155556261108,-2.478483024105203,-0.1789598217186718,0.21739130434782608,-0.28260869565217395,0.1305766487065236,0.0005691598645121698,-0.7772086942015779,-2.42736026539263
1992-08-01,64.0,26.0,10,0.40625,0.1384963513096055,0.1057270635776995,2.5324986775370024,5.056819937788199,0.47484473489061924,1.0,0.5,0.16198135167682062,0.031404702970297016,3.282624679146261,5.704897669568959
1992-09-01,186.0,27.0,9,0.14516129032258066,0.13315126503803762,0.10341813967528102,0.11613074188196473,-5.759382168818151,-0.6156145717463849,0.7391304347826086,0.23913043478260865,0.1634476273366447,0.0014662756598240734,0.3160123976797096,-7.026445654814391
1992-10-01,89.0,0.0,0,0.0,0.13210959837137096,0.10479761384578498,-1.2606164732507836,1.0396207205222894,0.11592741935483869,0.0,-0.5,0.14809675014366222,-0.015350877192982476,-1.2990221028450581,1.351577780941784
1992-11-01,130.0,6.0,2,0.046153846153846156,0.12509645098995162,0.10770451425723648,-0.7329553954216125,1.9044082929619197,0.1913151364764268,0.17391304347826086,-0.32608695652173914,0.13688871419335824,-0.01120803595030398,-0.756718660581035,2.157337942788791
1992-12-01,174.0,11.0,5,0.06321839080459771,0.1243793831886773,0.1081192824458532,-0.5656807093101954,-0.3603863917177541,-0.029089301503094606,0.30434782608695654,-0.19565217391304346,0.11875127753534316,-0.01813743665801508,-0.5513561107985228,-0.33694089248151093
1993-01-01,79.0,19.0,9,0.24050632911392406,0.14039581238617418,0.11004464016416707,0.9097264217357861,1.3081324449345644,0.1602233936585748,0.9565217391304348,0.4565217391304348,0.15021497606582476,0.0314636985304816,1.4337838788894703,1.7797774399054807
1993-02-01,49.0,0.0,0,0.0,0.12224399720465602,0.11400573897922801,-1.0722617852328384,-3.457395338014606,-0.41779426742325043,0.0,-0.5,0.08250664273249143,-0.06770833333333333,-1.2560635807746898,-4.6749874493521535
1993-03-01,85.0,18.0,6,0.21176470588235294,0.1285274196645491,0.11689591719313304,0.7120632458042219,3.7663132380056847,0.45227103499627697,0.8695652173913043,0.3695652173913043,0.09360721199245348,0.011100569259962043,1.0987280272960325,5.044639067734883
1993-04-01,61.0,26.0,10,0.4262295081967213,0.15637110675111796,0.14406687813322447,1.8731467283968934,-0.6232415484443887,0.0027000964320154086,1.0,0.5,0.1646454633585737,0.07103825136612021,3.021241216505573,-0.4322784188611819
1993-05-01,258.0,18.0,8,0.06976744186046512,0.1527348884181842,0.14579035698054904,-0.5690873407271262,-3.6033175517166907,-0.5709268686506245,0.34782608695652173,-0.15217391304347827,0.16858106264301018,0.003935599284436486,-0.508455879100603,-5.452210284815716
1993-06-01,77.0,6.0,2,0.07792207792207792,0.14489147734896668,0.14718233402314554,-0.4550097664326842,2.5563116434184616,0.364616702397869,0.43478260869565216,-0.06521739130434784,0.17103167716259018,0.0024506145195800078,-0.42084940811352933,3.6173035665932494
1993-07-01,146.0,41.0,15,0.2808219178082192,0.16398295900539875,0.1488477408081781,0.7849562120891861,1.1258884042274282,0.19474520382452848,0.9130434782608695,0.4130434782608695,0.17775094194497273,0.00671926478238255,1.5647921847455797,1.8980351218720353
1993-08-01,202.0,45.0,19,0.22277227722772278,0.14869314877437564,0.12991944168411781,0.5701927863380207,-1.4547294042730357,-0.2609494804666377,0.8260869565217391,0.32608695652173914,0.21487965481625984,0.037128712871287106,0.966325019485703,-2.5841087581189854
1993-09-01,135.0,39.0,15,0.28888888888888886,0.16067044865490135,0.13604497170075044,0.9424709978698922,0.5870416372830368,0.1241662522416625,0.9130434782608695,0.4130434782608695,0.2277336853173492,0.012854030501089353,1.5595398912244314,1.191682036998605
1993-10-01,157.0,11.0,5,0.07006369426751592,0.166509089843861,0.1298866959644183,-0.7425348289925378,-2.057284038394301,-0.28494180628253907,0.30434782608695654,-0.19565217391304346,0.1683727163291483,-0.059360968988200896,-0.5686618067333783,-2.721416569696538
1993-11-01,211.0,39.0,14,0.1848341232227488,0.17806577959960287,0.1242518808715932,0.054472765930526294,2.482013421785494,0.3335956235766058,0.6521739130434783,0.15217391304347827,0.1875504965561956,0.019177780227047303,0.5526274555532439,3.249490960244432
1993-12-01,109.0,25.0,10,0.22935779816513763,0.19191073021298122,0.11945504497397105,0.31348251520323844,-0.5379978456503519,-0.07024675401284407,0.782608695652174,0.28260869565217395,0.2127897832633722,0.025239286707176595,0.9735878802352907,-0.7003288376045753
1994-01-01,394.0,9.0,3,0.02284263959390863,0.17377208941964659,0.12764971567185157,-1.182372001624598,-1.7548642661005487,-0.2510388335136178,0.08695652173913043,-0.41304347826086957,0.16979323689432044,-0.04299654636905176,-1.0508068483206705,-2.4453551532380082
1994-02-01,208.0,15.0,7,0.07211538461538461,0.179781704804262,0.1202054717661272,-0.8956856839125753,1.782540834539859,0.255787903592705,0.34782608695652173,-0.15217391304347827,0.14468375479226409,-0.025109482102056352,-0.5555596085245429,2.5196419683520888
1994-03-01,495.0,79.0,29,0.1595959595959596,0.17543430928039586,0.11988656139915667,-0.13211113488944953,0.47688823131110314,0.03820782995909901,0.5652173913043478,0.06521739130434778,0.12313493324344253,-0.021548821548821553,0.3134823349870227,0.3737947037154379
1994-04-01,199.0,35.0,13,0.17587939698492464,0.15457180001274615,0.09044320087693593,0.23559092077215696,-0.3958724933615193,-0.07119713759160995,0.6086956521739131,0.10869565217391308,0.140770883696344,0.017635950452901464,0.4717814528177722,-0.7107428256808161
1994-05-01,185.0,7.0,3,0.03783783783783784,0.15191099967752722,0.0935801935609091,-1.2189883083052386,-1.822281284739002,-0.15432499653605183,0.13043478260869565,-0.3695652173913043,0.11627150279885883,-0.02449938089748517,-0.9119892377451372,-1.5420698083936588
1994-06-01,204.0,37.0,15,0.18137254901960784,0.16053187226898805,0.09087032114358091,0.22934525253509547,2.9029127899177296,0.2815762703288568,0.6086956521739131,0.10869565217391308,0.10827396127460387,-0.007997541524254956,0.5393191247605548,2.8350790530686014
1994-07-01,173.0,16.0,6,0.09248554913294797,0.1448371748793821,0.08422712402394829,-0.6215530490100671,-2.2992318623854966,-0.23242171106842985,0.43478260869565216,-0.06521739130434784,0.11988111286444375,0.011607151589839881,-0.3657706436985354,-2.356398130964782
1994-08-01,187.0,4.0,2,0.0213903743315508,0.12805534963803444,0.08729363671543895,-1.2219100878359743,0.2505412627192554,0.017791825085262697,0.08695652173913043,-0.41304347826086957,0.11142694448380479,-0.008454168380638963,-1.0771819444618216,0.193678467695804
1994-09-01,268.0,21.0,11,0.07835820895522388,0.11051112631022902,0.07181462898517223,-0.44772099792709147,1.37454612873479,0.12806300942507026,0.4782608695652174,-0.021739130434782594,0.0978873193770155,-0.013539625106789285,-0.4856568621524896,1.3029363830726184
1994-10-01,313.0,21.0,7,0.0670926517571885,0.1102635394343684,0.07197170143477938,-0.5998314173008856,-0.926299509282677,-0.06823339182170847,0.2608695652173913,-0.2391304347826087,0.07975619517239281,-0.018131124204622692,-0.5953679621219905,-0.7012361822788329
1994-11-01,209.0,8.0,4,0.03827751196172249,0.09805048849594954,0.07058875567658002,-0.8467775917185996,-0.09483575504391978,-0.017549582597430613,0.17391304347826086,-0.32608695652173914,0.07982947419304025,7.327902064743763e-05,-0.8820627014054347,-0.17698363931394334
1994-12-01,192.0,41.0,15,0.21354166666666666,0.09673247753774362,0.06801487373142318,1.71740654243039,2.811130308566703,0.20407929450041018,0.7391304347826086,0.23913043478260865,0.0851909938008834,0.005361519607843146,0.9327328185065399,2.101490259195419
1995-01-01,298.0,45.0,21,0.15100671140939598,0.10741281685570091,0.06536846756610074,0.666894852776116,-3.614695823803263,-0.23779910996221484,0.5217391304347826,0.021739130434782594,0.09494452084695805,0.009753527046074656,0.27681335683891184,-2.4707149815796026
1995-02-01,472.0,41.0,16,0.08686440677966102,0.10864190203605727,0.06478047033191864,-0.3361737749790007,0.04744306189915726,-0.0016073493724642895,0.43478260869565216,-0.06521739130434784,0.10585685958830976,0.01091233874135171,-0.3949907992209415,-0.015884694392225285
1995-03-01,302.0,6.0,3,0.019867549668874173,0.09699786787546683,0.06729796024105275,-1.1461018718891574,0.19314053084496008,-0.002854552481051903,0.0,-0.5,0.09610841637391813,-0.009748443214391625,-1.0861551457602996,-0.01936019047950477
