h,coef_low_vix,coef_int_vix,se_int_vix
0,-0.053610656776754695,0.04814641100438166,0.19672448782559762
1,-0.09346761737378984,0.06408890543389134,0.2817541360802373
2,-0.18373074786950383,0.1910228429687777,0.29933896515903535
3,-0.16271007507748436,0.15297828053508056,0.20747186221120728
4,-0.2022381034537375,0.23735122966036215,0.31331232902351397
5,-0.1202806143937778,0.023496580577102577,0.2649487287444299
6,-0.16203742117841102,0.04151666976122215,0.3408031733549258
7,-0.12900249090535,0.056096104737662245,0.312160475799962
8,-0.10547016867985803,0.16469269289700605,0.38671094745012696
9,0.05084066697691014,-0.2009226828267856,0.5083509612502713
10,-0.05010085246476592,0.042781708195434476,0.4377456394428396
11,-0.045930343834243104,0.18790028322746366,0.3940285799309972
12,-0.06041081668126935,0.13352386223141366,0.4235999820750213
13,-0.192426375865125,0.404825552955117,0.6126857108605359
14,-0.14216579302319587,0.20168562470371398,0.539121003606604
15,0.04658472264463853,-0.15647401613932743,0.6011548921437212
16,-0.02088056175807651,-0.07827839598439823,0.5842691005920015
17,0.012589694658572625,-0.1363530686417107,0.613576210587008
18,0.01963555353859192,0.0378349690736286,0.784345828709453
19,0.5979103564095567,-1.0530564842774766,3.865445941265874
20,-0.013045324019913096,0.2367541746571078,1.6629940836099653
21,-0.6996212476515211,1.475961850344902,9.14724905984302
22,-1.2136448029632447,2.4228559033217607,9.024520904085822
23,-1.5471006158622913,2.8877626484027132,13.011619618735253
24,-1.5440562469302677,2.961727323476225,15.0798636343551
25,-0.24112755579699297,0.7331579939636867,3.4750499529588215
26,-0.8783075347018894,1.8262369866715744,9.815469184765425
27,-2.379107873130124,4.4700942789786495,14.42792238138601
28,-1.5754518214889686,3.095224106044043,6.744481239008374
29,-1.1251763505279087,2.3566894136019982,8.794681108596222
30,-0.5646879361011088,1.2260247532831272,3.1365693340554004
31,-0.18626312074593443,0.5164773247888661,1.372215510322584
32,0.13250812339538243,0.06608099075674545,1.6102003740656174
33,0.3052284615114331,-0.2108940207399428,5.033533901183162
34,-0.4279334869606828,1.1327503653010353,2.3839955816169707
35,-2.26559250097489,4.64644110808149,28.76280683891155
36,-0.4855672873854928,1.0448727871989831,2.3787220470854953
37,-0.6113176608487265,1.2516271083295578,3.3298167615374443
38,-0.43384282673650887,0.9440225847065449,2.2300693887248895
39,-0.3802907563149347,0.9108100521807501,1.923410938612265
40,-1.0675471165704948,1.9533745665248716,4.6184329900889045
41,-0.17280355987895746,0.27203263867704663,2.1539335121692678
42,-0.007785821973811835,0.053474661166546866,2.7652106701799872
43,-0.2925958485575393,0.5497034008149058,7.946851702500783
44,1.7340694670274388,-2.748014460434206,14.103225773070767
45,1.0901927290542517,-1.7052872158965329,4.87700437185674
46,-0.38761927872837987,0.5286744889162946,1.771215073706651
47,-0.28341433578498254,0.4089084423612803,0.9011196451365546
48,-1.7415779344446491,3.03552547461004,6.14129237699381
