h,coef_low,se_low,coef_int,se_int,coef_high,se_high
0,-0.04109504228915739,0.042906940204653424,0.029852039703655464,0.10376970992230089,-0.011243002585501927,0.11229050812550533
1,-0.062477016282741715,0.05850994404950936,0.007184699627487134,0.15101033578880016,-0.05529231665525458,0.1619491743347983
2,-0.15111164290829038,0.07713583854044027,0.18912111688564437,0.19165602778717752,0.03800947397735399,0.20659615333905962
3,-0.19693308769365103,0.09961075357541971,0.3088521704617051,0.25494750269361033,0.11191908276805407,0.27371615107182007
4,-0.177588147514939,0.08152785608259787,0.23652804484504486,0.21238337715242353,0.05893989733010585,0.2274939344424228
5,-0.20507294679202914,0.11371390933502933,0.2884146892674835,0.2108306394223133,0.08334174247545434,0.23954208752425274
6,-0.23906355909832655,0.10828985967042988,0.27661722349853335,0.2028888385105804,0.0375536644002068,0.22997950886897242
7,-0.17634739780362452,0.09755158726579384,0.20104408021916242,0.21969595312963194,0.024696682415537907,0.24038016557031744
8,-0.169821711062923,0.13280653971160927,0.3891743816432154,0.24132712943639203,0.2193526705802924,0.27545663976782325
9,-0.12287864839424856,0.11473189842312327,0.2963885335716441,0.21519504706765924,0.17350988517739552,0.24386946671985396
10,-0.1267576583758796,0.10145518115581442,0.3041877210994244,0.1963133083804443,0.17743006272354478,0.22097979281064264
11,-0.03590798393537398,0.09291840017897318,0.22355721593271483,0.18972118271148722,0.18764923199734085,0.21125329881747484
12,-0.09698721356159012,0.1129182031886112,0.30511433568335633,0.25286554489051094,0.2081271221217662,0.27693231014838177
13,-0.07012204326650817,0.10735234928719083,0.1924156792215399,0.25427553067575964,0.12229363595503173,0.27600828320526577
14,-0.12617610359387754,0.10592005390283017,0.2408854131051612,0.24958617332065522,0.11470930951128366,0.2711315469133509
15,-0.10566722982952115,0.11456627251940989,0.26982696054562894,0.2831765659631022,0.1641597307161078,0.3054740550515655
16,-0.13318174005229366,0.09766710824375371,0.24044441787930282,0.25386978965678564,0.10726267782700916,0.2720087023113005
17,-0.1808367996884499,0.11626638976584469,0.3981461680571101,0.3248726077468836,0.21730936836866022,0.34505084357735427
18,-0.07478373406749483,0.11190902291476965,0.34335000888859213,0.2957174225797971,0.2685662748210973,0.3161841606200044
19,-0.03896434818042849,0.11649964192724196,0.44140360972915005,0.28690509856738655,0.40243926154872156,0.3096557801061323
20,-0.08625448839288197,0.14908522397679705,0.5614113173259057,0.3321600013484306,0.4751568289330237,0.36408332906630203
21,-0.06683764779060652,0.12513779996854174,0.49727483290445207,0.2961010039015564,0.43043718511384554,0.3214580431292337
22,-0.07551628974223945,0.13093011339430674,0.4592708860524226,0.2666149908642343,0.38375459631018316,0.2970290355284846
23,0.07401670133506855,0.12389815874211187,-0.01830619100644526,0.29519084979880006,0.055710510328623286,0.32013808199685223
24,0.0479631524461297,0.12551374919927938,0.21909189131213225,0.25116853089811897,0.26705504375826195,0.28078342570668047
25,0.054474109085788314,0.13162659808949698,0.33094607081989125,0.3131118400036294,0.38542017990567956,0.339653626029625
26,0.05657328632975123,0.11258915487470383,0.262679613380044,0.2294021162618978,0.3192528997097952,0.2555418727739885
27,0.06613936547580579,0.1387680257097466,0.3513398163910324,0.22090806074612174,0.4174791818668382,0.26087724366451187
28,0.11967154526027457,0.13662838739126265,0.17035976841106049,0.27287008398568013,0.29003131367133506,0.30516454409955474
29,0.11966239003528756,0.11155875040503006,0.13816700694394513,0.262084357818457,0.2578293969792327,0.2848395432608415
30,0.05626586586827642,0.0906034268090555,0.17494074439734675,0.23139394470644245,0.23120661026562317,0.2484997758476897
31,0.07555620201029711,0.08123784419427245,0.11507200563627862,0.20469436093148566,0.19062820764657573,0.22022572221809653
32,0.16286780385760835,0.09092645123754903,0.03139860913040593,0.20841014944479874,0.19426641298801428,0.2273816393780679
33,0.15433550771560078,0.09677289825467024,0.1134578091155447,0.19701296842228408,0.2677933168311455,0.21949738851104506
34,0.07020253066019677,0.12014235117102591,0.39677271771932965,0.2410316542259251,0.4669752483795264,0.26931476543960237
35,0.048626269499635555,0.09860025110157376,0.32959832978031045,0.23286287023066818,0.378224599279946,0.2528776895049431
36,0.030566618839571902,0.0984734383242592,0.13606313861853891,0.19750950465347805,0.16662975745811082,0.22069667528955653
37,0.059966428377478564,0.10649354709856582,0.0917259475157266,0.2107806982688284,0.15169237589320517,0.23615541140598353
38,0.09008830994854833,0.12507763116316942,-0.022368406945226127,0.24991102637490412,0.0677199030033222,0.27946365581439725
39,0.13293005277432712,0.15288521840949773,-0.0805411303761332,0.27503151403720316,0.05238892239819393,0.3146684345810938
40,0.2265861954021915,0.2108909344857687,-0.39735968275618916,0.38755194276214733,-0.17077348735399767,0.441215927394961
41,0.07863772193233842,0.13715380298238233,-0.19858336449797775,0.3116624651530768,-0.11994564256563933,0.3405064725637722
42,0.03814386158042282,0.10860596199421467,-0.02817106923492929,0.22885650654057071,0.00997279234549353,0.25331907856820235
43,0.017195820462731604,0.09709956491006512,0.02534109423950781,0.22764192885306403,0.042536914702239415,0.2474857031783198
44,0.048385186757769816,0.10557401217256922,-0.003346554583458783,0.22582732930753888,0.04503863217431103,0.24928669179960128
45,-0.11392126690032,0.12999447381830492,0.29268986510334116,0.27091863324355875,0.17876859820302116,0.3004920449227498
46,-0.05807595941053023,0.11284087942725526,0.1117550950107784,0.2287491546579034,0.05367913560024817,0.2550671280792995
47,0.155717074095719,0.16320465657891453,-0.33451106991196866,0.3000921774348003,-0.17879399581624966,0.34160075363880726
48,0.14565287172899843,0.17312057342503323,-0.41741185920170665,0.39009117414886046,-0.2717589874727082,0.42678080684567915
