h,coef_low,se_low,coef_int,se_int,coef_high_total,se_high_total
0,-0.04165829904510872,0.053738987507333295,0.05322003350552828,0.1109760583378414,0.01156173446041956,0.12330273436756096
1,-0.06581597942566716,0.07278187689424459,0.03813994735770085,0.15300426735639386,-0.027676032067966316,0.1694328995015898
2,-0.1785350537495313,0.09235376262798241,0.2471122846951785,0.1907745725278024,0.06857723094564722,0.21195319057450268
3,-0.25299571267225013,0.13344911262190914,0.4425983485611134,0.2923735465714106,0.18960263588886328,0.3213891043491049
4,-0.24105841663163124,0.1103417042195226,0.3656643011056411,0.225006971987968,0.12460588447400983,0.25060612349514294
5,-0.257798339620794,0.1328555734918853,0.3679923993140005,0.23921692584791526,0.1101940596932065,0.2736335889834885
6,-0.2667978851505938,0.11863630599887143,0.2870417597170366,0.23373069302709043,0.020243874566442777,0.26211564234891027
7,-0.18159094392702166,0.10369394370548705,0.15157206931289635,0.23689566685700622,-0.030018874614125307,0.2585961928119252
8,-0.16640016206075062,0.1344535729350828,0.27859393783289466,0.2554845389601979,0.11219377577214404,0.2887041962332978
9,-0.10863738172509681,0.13076538315241396,0.1725868810171123,0.2690025844856581,0.0639494992920155,0.2991019489922479
10,-0.10165358175243816,0.12447865464938206,0.16382056992009472,0.24877713743653204,0.06216698816765656,0.27818159460042513
11,-0.009494097542914541,0.12185433789080528,0.06895500595802666,0.2509237042780996,0.05946090841511212,0.27894656303932075
12,-0.07354575838522202,0.12466424721033709,0.15758462541245077,0.2743725177678648,0.08403886702722875,0.301365978568911
13,-0.02089201739512553,0.1261794113911263,-0.006813104627662199,0.30265626041388155,-0.02770512202278773,0.3279055593104917
14,-0.0734478790123714,0.13253315883125158,0.026202365565220816,0.2868882681447949,-0.04724551344715058,0.31602201915200384
15,-0.06068953668693796,0.12363457896360602,0.07907522219071743,0.2841115262612362,0.01838568550377947,0.30984652405666463
16,-0.08030384721875625,0.12741359432275434,0.035709657307925545,0.25708339192809876,-0.0445941899108307,0.28692524187233837
17,-0.10313056153650962,0.12821221076550904,0.12463348887313856,0.30526112137088607,0.021502927336628938,0.3310932243492611
18,0.019878690464138375,0.11449291067391394,0.019098812075241563,0.28076400052170397,0.03897750253937994,0.3032112309653721
19,0.06194691633495264,0.1140801977591429,0.06462076593470205,0.26955361926465277,0.1265676822696547,0.2927002650826243
20,0.037601674383752566,0.12537695589360148,0.13644187671043703,0.29765509812963253,0.1740435510941896,0.32298287649921514
21,0.08436005986965664,0.13060380249234224,0.007597162630144125,0.320919930824822,0.09195722249980076,0.3464779289162115
