h,iv_coef,ar_lo,ar_hi
3,-0.09905801419081328,-0.18546365914786977,-0.015037593984962516
6,-0.15834210515099656,-0.2656641604010026,-0.05513784461152893
12,-0.0200672235572128,-0.15538847117794496,0.10526315789473673
18,0.027956665252521162,-0.10526315789473695,0.15538847117794496
24,0.12527325257767075,-0.02506265664160412,0.2756892230576442
36,0.15194376721215264,0.015037593984962072,0.2857142857142856
