tau,h,alpha_hat,ci_lo,ci_hi
0.1,3,0.004496909048648683,-0.2053691275167786,0.15704697986577165
0.1,6,-0.25217899001696437,-0.5194630872483221,-0.03624161073825505
0.1,12,-0.004661129039087077,-0.30201342281879207,0.2536912751677851
0.1,18,0.10048850448197223,-0.1328859060402685,0.22953020134228175
0.1,24,0.07991436972719841,-0.32617449664429543,0.3986577181208053
0.1,36,0.007967404609708083,-0.18120805369127524,0.18120805369127502
0.25,3,-0.08001678015420376,-0.18120805369127524,-0.012080536912751683
0.25,6,-0.14222845728073905,-0.30201342281879207,-0.012080536912751683
0.25,12,-0.05679462205951066,-0.2778523489932887,0.10872483221476492
0.25,18,-0.08006302623303989,-0.22953020134228197,0.08456375838926156
0.25,24,0.04246434244535846,-0.2053691275167786,0.2536912751677851
0.25,36,0.2486239168816985,-0.03624161073825505,0.5436241610738255
0.5,3,-0.039777129572083056,-0.18120805369127524,0.036241610738254826
0.5,6,-0.03710256762345975,-0.15704697986577187,0.06040268456375819
0.5,12,0.01672054661462251,-0.08456375838926178,0.1328859060402683
0.5,18,0.01995585295203041,-0.10872483221476514,0.1328859060402683
0.5,24,0.15284242127168302,0.036241610738254826,0.2778523489932885
0.5,36,0.21190862646138198,0.036241610738254826,0.37449664429530194
0.75,3,0.005819994518309172,-0.06040268456375841,0.06040268456375819
0.75,6,-0.08903777715783615,-0.18120805369127524,-0.012080536912751683
0.75,12,0.03047413239679299,-0.08456375838926178,0.15704697986577165
0.75,18,0.006809013261176465,-0.10872483221476514,0.22953020134228175
0.75,24,0.21087591689504626,0.06040268456375819,0.3261744966442952
0.75,36,0.0970054641047679,-0.06040268456375841,0.30201342281879184
0.9,3,-0.017348530816309684,-0.08456375838926178,0.06040268456375819
0.9,6,-0.18460236337210045,-0.25369127516778534,-0.08456375838926178
0.9,12,-0.08639462618341605,-0.18120805369127524,0.1328859060402683
0.9,18,0.0753167227017316,-0.012080536912751683,0.18120805369127502
0.9,24,0.15975644881054465,0.036241610738254826,0.42281879194630867
0.9,36,0.15204141920397896,-0.012080536912751683,0.2778523489932885
