h,F,p,n_pre,n_post,break_date
3,6.3189742917406155,1.8274270985330077e-13,141,238,2002-02-01
6,8.044833221136516,1.1102230246251565e-16,141,235,2002-02-01
12,10.598433505867288,1.1102230246251565e-16,141,229,2002-02-01
24,11.965975231462865,1.1102230246251565e-16,141,217,2002-02-01
