h,ar_lower,ar_upper,ar_point,ar_width
3,-0.18546365914786977,-0.015037593984962516,-0.09523809523809534,0.17042606516290726
6,-0.2656641604010026,-0.05513784461152893,-0.15538847117794496,0.21052631578947367
12,-0.15538847117794496,0.10526315789473673,-0.02506265664160412,0.2606516290726817
18,-0.10526315789473695,0.15538847117794496,0.025062656641603898,0.2606516290726819
24,-0.02506265664160412,0.2756892230576442,0.12531328320801993,0.3007518796992483
36,0.015037593984962072,0.2857142857142856,0.15538847117794496,0.2706766917293235
