,coef,lo,hi,n_boot
3,-0.09905801419081328,-0.1858584699955319,-0.00829262409594087,1000.0
6,-0.15834210515099656,-0.26364564111016825,-0.050253971842256835,1000.0
12,-0.0200672235572128,-0.1531245883738368,0.10548771299852006,1000.0
18,0.027956665252521162,-0.09949592603079313,0.1530950485611393,1000.0
24,0.12527325257767075,-0.02370126814584168,0.27231654619515555,1000.0
36,0.15194376721215264,0.019828492901216067,0.28252671014903075,1000.0
