h,F,p,n_pre,n_post
3,3.4100281730743345,4.685517549618545e-06,236,143
6,3.861111983939369,3.4913859070506703e-07,236,140
12,7.842290897030151,1.1102230246251565e-16,236,134
24,12.905094190001797,1.1102230246251565e-16,236,122
